		next (Reference Fit)	next (Reference Fit)
		Min	Max
$\Sigma$	$\alpha$	1.2742251189067872	1.2742251189067872
$\Sigma$	$\beta$	2.124476308711572	2.994892609573603
$g$	$\alpha$	1.0727174998630404	1.0727174998630404
$g$	$\beta$	5.2629986637673385	5.883457848014813
$V$	$\alpha$	0.01901510121700497	0.48660594931391804
$V$	$\beta$	1.6977374717272664	2.199387741286385
$V3$	$\alpha$	0.431265787152749	0.4789145209944658
$V3$	$\beta$	1.7900572867929379	3.481036797139001
$V8$	$\alpha$	0.761444990771249	0.7966463619074593
$V8$	$\beta$	1.8827461719386693	3.177670874295153
$T3$	$\alpha$	-1.5456888106021545	-0.07955747973844664
$T3$	$\beta$	2.9465443767036814	4.7493540513543415
$T8$	$\alpha$	-1.1141135661747739	-0.09588419043301372
$T8$	$\beta$	3.4060887939679594	4.136007311437511
$c^+$	$\alpha$	-1.3954313454226461	-0.13330839674492606
$c^+$	$\beta$	5.64852640759162	6.735212105714432
