    i          rs           x          Q2       sigma        stat        syst        norm
    0     140.7124728       0.0001290       1.2900000       0.0000000       0.0021535       1.5000000       2.5000000
    1     140.7124728       0.0002050       1.2900000       0.0000000       0.0020681       1.5000000       2.5000000
    2     140.7124728       0.0002050       2.0500000       0.0000000       0.0026563       1.5000000       2.5000000
    3     140.7124728       0.0003250       1.2900000       0.0000000       0.0020460       1.5000000       2.5000000
    4     140.7124728       0.0003250       2.0500000       0.0000000       0.0025614       1.5000000       2.5000000
    5     140.7124728       0.0003250       3.2500000       0.7062836       0.0031939       1.5000000       2.5000000
    6     140.7124728       0.0005150       1.2900000       0.0000000       0.0020618       1.5000000       2.5000000
    7     140.7124728       0.0005150       2.0500000       0.0000000       0.0025393       1.5000000       2.5000000
    8     140.7124728       0.0005150       3.2500000       0.6864243       0.0030769       1.5000000       2.5000000
    9     140.7124728       0.0005150       5.1500000       0.7894460       0.0038580       1.5000000       2.5000000
   10     140.7124728       0.0008150       1.2900000       0.0000000       0.0021029       1.5000000       2.5000000
   11     140.7124728       0.0008150       2.0500000       0.0000000       0.0025646       1.5000000       2.5000000
   12     140.7124728       0.0008150       3.2500000       0.6015379       0.0030453       1.5000000       2.5000000
   13     140.7124728       0.0008150       5.1500000       0.7429935       0.0037315       1.5000000       2.5000000
   14     140.7124728       0.0008150       8.1500000       0.8775992       0.0047434       1.5000000       2.5000000
   15     140.7124728       0.0012900       1.2900000       0.0000000       0.0021630       1.5000000       2.5000000
   16     140.7124728       0.0012900       2.0500000       0.0000000       0.0026247       1.5000000       2.5000000
   17     140.7124728       0.0012900       3.2500000       0.5630573       0.0030769       1.5000000       2.5000000
   18     140.7124728       0.0012900       5.1500000       0.6542319       0.0036999       1.5000000       2.5000000
   19     140.7124728       0.0012900       8.1500000       0.7598801       0.0045853       1.5000000       2.5000000
   20     140.7124728       0.0012900      12.9000000       0.8763562       0.0058818       1.5000000       2.5000000
   21     140.7124728       0.0020500       1.2900000       0.0000000       0.0022357       1.5000000       2.5000000
   22     140.7124728       0.0020500       2.0500000       0.0000000       0.0026974       1.5000000       2.5000000
   23     140.7124728       0.0020500       3.2500000       0.5411545       0.0031465       1.5000000       2.5000000
   24     140.7124728       0.0020500       5.1500000       0.6235342       0.0037631       1.5000000       2.5000000
   25     140.7124728       0.0020500       8.1500000       0.6999293       0.0045853       1.5000000       2.5000000
   26     140.7124728       0.0020500      12.9000000       0.7830847       0.0057553       1.5000000       2.5000000
   27     140.7124728       0.0020500      20.5000000       0.8750179       0.0074314       1.5000000       2.5000000
   28     140.7124728       0.0032500       1.2900000       0.0000000       0.0023116       1.5000000       2.5000000
   29     140.7124728       0.0032500       2.0500000       0.0000000       0.0027891       1.5000000       2.5000000
   30     140.7124728       0.0032500       3.2500000       0.5016458       0.0032571       1.5000000       2.5000000
   31     140.7124728       0.0032500       5.1500000       0.5795779       0.0038580       1.5000000       2.5000000
   32     140.7124728       0.0032500       8.1500000       0.6460717       0.0046485       1.5000000       2.5000000
   33     140.7124728       0.0032500      12.9000000       0.7118533       0.0057553       1.5000000       2.5000000
   34     140.7124728       0.0032500      20.5000000       0.7889795       0.0072732       1.5000000       2.5000000
   35     140.7124728       0.0032500      32.5000000       0.8721009       0.0094868       1.5000000       2.5000000
   36     140.7124728       0.0051500       1.2900000       0.0000000       0.0023907       1.5000000       2.5000000
   37     140.7124728       0.0051500       2.0500000       0.0000000       0.0028840       1.5000000       2.5000000
   38     140.7124728       0.0051500       3.2500000       0.4651972       0.0033520       1.5000000       2.5000000
   39     140.7124728       0.0051500       5.1500000       0.5254596       0.0039528       1.5000000       2.5000000
   40     140.7124728       0.0051500       8.1500000       0.5782155       0.0047750       1.5000000       2.5000000
   41     140.7124728       0.0051500      12.9000000       0.6357938       0.0058502       1.5000000       2.5000000
   42     140.7124728       0.0051500      20.5000000       0.7094032       0.0073365       1.5000000       2.5000000
   43     140.7124728       0.0051500      32.5000000       0.7958673       0.0093920       1.5000000       2.5000000
   44     140.7124728       0.0051500      51.5000000       0.8755076       0.0122696       1.5000000       2.5000000
   45     140.7124728       0.0081500       1.2900000       0.0000000       0.0024603       2.5000000       2.5000000
   46     140.7124728       0.0081500       2.0500000       0.0000000       0.0029725       1.5000000       2.5000000
   47     140.7124728       0.0081500       3.2500000       0.4210065       0.0034469       1.5000000       2.5000000
   48     140.7124728       0.0081500       5.1500000       0.4637796       0.0041110       1.5000000       2.5000000
   49     140.7124728       0.0081500       8.1500000       0.5143956       0.0049648       1.5000000       2.5000000
   50     140.7124728       0.0081500      12.9000000       0.5800665       0.0060400       1.5000000       2.5000000
   51     140.7124728       0.0081500      20.5000000       0.6582143       0.0074946       1.5000000       2.5000000
   52     140.7124728       0.0081500      32.5000000       0.7339422       0.0094552       1.5000000       2.5000000
   53     140.7124728       0.0081500      51.5000000       0.7917724       0.0121748       1.5000000       2.5000000
   54     140.7124728       0.0081500      81.5000000       0.8150369       0.0162225       1.5000000       2.5000000
   55     140.7124728       0.0129000       1.2900000       0.0000000       0.0025330       2.5000000       2.5000000
   56     140.7124728       0.0129000       2.0500000       0.0000000       0.0030579       2.5000000       2.5000000
   57     140.7124728       0.0129000       3.2500000       0.3821831       0.0035734       1.5000000       2.5000000
   58     140.7124728       0.0129000       5.1500000       0.4376983       0.0042691       1.5000000       2.5000000
   59     140.7124728       0.0129000       8.1500000       0.4995482       0.0051545       1.5000000       2.5000000
   60     140.7124728       0.0129000      12.9000000       0.5582884       0.0062613       1.5000000       2.5000000
   61     140.7124728       0.0129000      20.5000000       0.6033374       0.0077792       1.5000000       2.5000000
   62     140.7124728       0.0129000      32.5000000       0.6314614       0.0097398       1.5000000       2.5000000
   63     140.7124728       0.0129000      51.5000000       0.6515281       0.0123961       1.5000000       2.5000000
   64     140.7124728       0.0129000      81.5000000       0.6755025       0.0160960       1.5000000       2.5000000
   65     140.7124728       0.0129000     129.0000000       0.7067502       0.0216300       1.5000000       2.5000000
   66     140.7124728       0.0205000       1.2900000       0.0000000       0.0025994       2.5000000       2.5000000
   67     140.7124728       0.0205000       2.0500000       0.0000000       0.0031338       2.5000000       2.5000000
   68     140.7124728       0.0205000       3.2500000       0.3967078       0.0036682       2.5000000       2.5000000
   69     140.7124728       0.0205000       5.1500000       0.4286003       0.0043956       1.5000000       2.5000000
   70     140.7124728       0.0205000       8.1500000       0.4504983       0.0053442       1.5000000       2.5000000
   71     140.7124728       0.0205000      12.9000000       0.4714724       0.0065459       1.5000000       2.5000000
   72     140.7124728       0.0205000      20.5000000       0.5013891       0.0080638       1.5000000       2.5000000
   73     140.7124728       0.0205000      32.5000000       0.5431725       0.0101193       1.5000000       2.5000000
   74     140.7124728       0.0205000      51.5000000       0.5920779       0.0129337       1.5000000       2.5000000
   75     140.7124728       0.0205000      81.5000000       0.6353322       0.0163174       1.5000000       2.5000000
   76     140.7124728       0.0205000     129.0000000       0.6607385       0.0214719       1.5000000       2.5000000
   77     140.7124728       0.0205000     205.0000000       0.6619210       0.0287135       1.5000000       2.5000000
   78     140.7124728       0.0325000       1.2900000       0.0000000       0.0026595       2.5000000       2.5000000
   79     140.7124728       0.0325000       2.0500000       0.0000000       0.0031939       2.5000000       2.5000000
   80     140.7124728       0.0325000       3.2500000       0.3596801       0.0037947       2.5000000       2.5000000
   81     140.7124728       0.0325000       5.1500000       0.3931236       0.0045537       2.5000000       2.5000000
   82     140.7124728       0.0325000       8.1500000       0.4332646       0.0055340       1.5000000       2.5000000
   83     140.7124728       0.0325000      12.9000000       0.4663598       0.0068305       1.5000000       2.5000000
   84     140.7124728       0.0325000      20.5000000       0.4869792       0.0084749       1.5000000       2.5000000
   85     140.7124728       0.0325000      32.5000000       0.4950176       0.0105304       1.5000000       2.5000000
   86     140.7124728       0.0325000      51.5000000       0.5000031       0.0133132       1.5000000       2.5000000
   87     140.7124728       0.0325000      81.5000000       0.5123376       0.0170447       1.5000000       2.5000000
   88     140.7124728       0.0325000     129.0000000       0.5370696       0.0218197       1.5000000       2.5000000
   89     140.7124728       0.0325000     205.0000000       0.5693159       0.0287451       1.5000000       2.5000000
   90     140.7124728       0.0325000     325.0000000       0.5954999       0.0395285       1.5000000       2.5000000
   91     140.7124728       0.0515000       2.0500000       0.0000000       0.0032571       2.5000000       2.5000000
   92     140.7124728       0.0515000       3.2500000       0.3718139       0.0038580       2.5000000       2.5000000
   93     140.7124728       0.0515000       5.1500000       0.3790097       0.0046802       2.5000000       2.5000000
   94     140.7124728       0.0515000       8.1500000       0.3858717       0.0057237       2.5000000       2.5000000
   95     140.7124728       0.0515000      12.9000000       0.3996817       0.0070835       1.5000000       2.5000000
   96     140.7124728       0.0515000      20.5000000       0.4249699       0.0087911       1.5000000       2.5000000
   97     140.7124728       0.0515000      32.5000000       0.4532944       0.0110363       1.5000000       2.5000000
   98     140.7124728       0.0515000      51.5000000       0.4758272       0.0138824       1.5000000       2.5000000
   99     140.7124728       0.0515000      81.5000000       0.4856484       0.0175823       1.5000000       2.5000000
  100     140.7124728       0.0515000     129.0000000       0.4831438       0.0227368       1.5000000       2.5000000
  101     140.7124728       0.0515000     205.0000000       0.4765907       0.0292827       1.5000000       2.5000000
  102     140.7124728       0.0515000     325.0000000       0.4765849       0.0385798       1.5000000       2.5000000
  103     140.7124728       0.0515000     515.0000000       0.4889955       0.0547074       1.5000000       2.5000000
  104     140.7124728       0.0815000       3.2500000       0.3581300       0.0039528       2.5000000       2.5000000
  105     140.7124728       0.0815000       5.1500000       0.3795208       0.0048067       2.5000000       2.5000000
  106     140.7124728       0.0815000       8.1500000       0.3949369       0.0059451       2.5000000       2.5000000
  107     140.7124728       0.0815000      12.9000000       0.3998372       0.0073997       2.5000000       2.5000000
  108     140.7124728       0.0815000      20.5000000       0.3943175       0.0092022       1.5000000       2.5000000
  109     140.7124728       0.0815000      32.5000000       0.3896289       0.0115739       1.5000000       2.5000000
  110     140.7124728       0.0815000      51.5000000       0.3927046       0.0146097       1.5000000       2.5000000
  111     140.7124728       0.0815000      81.5000000       0.4054977       0.0186258       1.5000000       2.5000000
  112     140.7124728       0.0815000     129.0000000       0.4232399       0.0235590       1.5000000       2.5000000
  113     140.7124728       0.0815000     205.0000000       0.4375288       0.0306425       1.5000000       2.5000000
  114     140.7124728       0.0815000     325.0000000       0.4422322       0.0392122       1.5000000       2.5000000
  115     140.7124728       0.0815000     515.0000000       0.4374748       0.0524938       1.5000000       2.5000000
  116     140.7124728       0.0815000     815.0000000       0.4316437       0.0714675       1.5000000       2.5000000
  117     140.7124728       0.1290000       5.1500000       0.3506467       0.0049648       2.5000000       2.5000000
  118     140.7124728       0.1290000       8.1500000       0.3526761       0.0061348       2.5000000       2.5000000
  119     140.7124728       0.1290000      12.9000000       0.3623394       0.0077160       2.5000000       2.5000000
  120     140.7124728       0.1290000      20.5000000       0.3742779       0.0097082       2.5000000       2.5000000
  121     140.7124728       0.1290000      32.5000000       0.3827035       0.0121431       1.5000000       2.5000000
  122     140.7124728       0.1290000      51.5000000       0.3790802       0.0153370       1.5000000       2.5000000
  123     140.7124728       0.1290000      81.5000000       0.3675639       0.0195113       1.5000000       2.5000000
  124     140.7124728       0.1290000     129.0000000       0.3554360       0.0247923       1.5000000       2.5000000
  125     140.7124728       0.1290000     205.0000000       0.3502962       0.0322552       1.5000000       2.5000000
  126     140.7124728       0.1290000     325.0000000       0.3552783       0.0414258       1.5000000       2.5000000
  127     140.7124728       0.1290000     515.0000000       0.3675927       0.0543912       1.5000000       2.5000000
  128     140.7124728       0.1290000     815.0000000       0.3823022       0.0743135       1.5000000       2.5000000
  129     140.7124728       0.1290000    1290.0000000       0.3977320       0.0992955       1.5000000       2.5000000
  130     140.7124728       0.2050000       8.1500000       0.3455177       0.0065143       2.5000000       2.5000000
  131     140.7124728       0.2050000      12.9000000       0.3299017       0.0081587       2.5000000       2.5000000
  132     140.7124728       0.2050000      20.5000000       0.3157572       0.0103406       2.5000000       2.5000000
  133     140.7124728       0.2050000      32.5000000       0.3088229       0.0130602       2.5000000       2.5000000
  134     140.7124728       0.2050000      51.5000000       0.3109131       0.0166652       1.5000000       2.5000000
  135     140.7124728       0.2050000      81.5000000       0.3158779       0.0213454       1.5000000       2.5000000
  136     140.7124728       0.2050000     129.0000000       0.3172080       0.0267845       1.5000000       2.5000000
  137     140.7124728       0.2050000     205.0000000       0.3110582       0.0347851       1.5000000       2.5000000
  138     140.7124728       0.2050000     325.0000000       0.2987150       0.0442719       1.5000000       2.5000000
  139     140.7124728       0.2050000     515.0000000       0.2860237       0.0575535       1.5000000       2.5000000
  140     140.7124728       0.2050000     815.0000000       0.2803970       0.0781083       1.5000000       2.5000000
  141     140.7124728       0.2050000    1290.0000000       0.2876954       0.1030903       1.5000000       2.5000000
  142     140.7124728       0.2050000    2050.0000000       0.3128285       0.1331319       1.5000000       2.5000000
  143     140.7124728       0.3250000      12.9000000       0.2599056       0.0094868       2.5000000       2.5000000
  144     140.7124728       0.3250000      20.5000000       0.2531231       0.0120799       2.5000000       2.5000000
  145     140.7124728       0.3250000      32.5000000       0.2408941       0.0153370       2.5000000       2.5000000
  146     140.7124728       0.3250000      51.5000000       0.2251316       0.0196061       2.5000000       2.5000000
  147     140.7124728       0.3250000      81.5000000       0.2096844       0.0255512       1.5000000       2.5000000
  148     140.7124728       0.3250000     129.0000000       0.2010197       0.0322552       1.5000000       2.5000000
  149     140.7124728       0.3250000     205.0000000       0.1982343       0.0417421       1.5000000       2.5000000
  150     140.7124728       0.3250000     325.0000000       0.1984990       0.0531263       1.5000000       2.5000000
  151     140.7124728       0.3250000     515.0000000       0.1978855       0.0673565       1.5000000       2.5000000
  152     140.7124728       0.3250000     815.0000000       0.1941519       0.0973982       1.5000000       2.5000000
  153     140.7124728       0.3250000    1290.0000000       0.1885503       0.1084661       1.5000000       2.5000000
  154     140.7124728       0.3250000    2050.0000000       0.1865265       0.1549516       1.5000000       2.5000000
  155     140.7124728       0.3250000    3250.0000000       0.1968928       0.2324274       1.5000000       2.5000000
  156     140.7124728       0.5150000      20.5000000       0.1035077       0.0179301       2.5000000       2.5000000
  157     140.7124728       0.5150000      32.5000000       0.0978711       0.0233060       2.5000000       2.5000000
  158     140.7124728       0.5150000      51.5000000       0.0935576       0.0295989       2.5000000       2.5000000
  159     140.7124728       0.5150000      81.5000000       0.0888109       0.0382636       2.5000000       2.5000000
  160     140.7124728       0.5150000     129.0000000       0.0825490       0.0505964       1.5000000       2.5000000
  161     140.7124728       0.5150000     205.0000000       0.0752628       0.0648267       1.5000000       2.5000000
  162     140.7124728       0.5150000     325.0000000       0.0687685       0.0838004       1.5000000       2.5000000
  163     140.7124728       0.5150000     515.0000000       0.0643503       0.1084661       1.5000000       2.5000000
  164     140.7124728       0.5150000     815.0000000       0.0623211       0.1483108       1.5000000       2.5000000
  165     140.7124728       0.5150000    1290.0000000       0.0620772       0.1891042       1.5000000       2.5000000
  166     140.7124728       0.5150000    2050.0000000       0.0629305       0.2409656       1.5000000       2.5000000
  167     140.7124728       0.5150000    3250.0000000       0.0650742       0.3257146       1.5000000       2.5000000
  168     140.7124728       0.5150000    5150.0000000       0.0700701       0.5470740       1.5000000       2.5000000
  169     140.7124728       0.8150000      32.5000000       0.0066280       0.0708350       2.5000000       2.5000000
  170     140.7124728       0.8150000      51.5000000       0.0054149       0.0910736       2.5000000       2.5000000
  171     140.7124728       0.8150000      81.5000000       0.0046244       0.1217477       2.5000000       2.5000000
  172     140.7124728       0.8150000     129.0000000       0.0041145       0.1615924       2.5000000       2.5000000
  173     140.7124728       0.8150000     205.0000000       0.0037676       0.2115564       1.5000000       2.5000000
  174     140.7124728       0.8150000     325.0000000       0.0034370       0.2735370       1.5000000       2.5000000
  175     140.7124728       0.8150000     515.0000000       0.0030885       0.3857979       1.5000000       2.5000000
  176     140.7124728       0.8150000     815.0000000       0.0027456       0.3857979       1.5000000       2.5000000
  177     140.7124728       0.8150000    1290.0000000       0.0024590       0.7462975       1.5000000       2.5000000
  178     140.7124728       0.8150000    2050.0000000       0.0022814       0.6988634       1.5000000       2.5000000
  179     140.7124728       0.8150000    3250.0000000       0.0022562       1.1384200       1.5000000       2.5000000
  180     140.7124728       0.8150000    5150.0000000       0.0024114       1.3945644       1.5000000       2.5000000
