#: table_doi: 10.17182/hepdata.89307.v1/t84
#: name: Table 84
#: description: Covariance matrix of the normalised differential cross section at parton level as a function of $y_{t\bar{t}}$.
#: data_file: d042-x01-y01_cov.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword observables: SIG
#: keyword phrases: Top | Differential Cross Section | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 13000.0
#: ,COVARIANCE MATRIX
Bin,Bin,
7.0,2.0,-1.03449e-06
8.0,2.0,1.57017e-06
9.0,2.0,3.53676e-06
1.0,3.0,-4.27325e-05
2.0,3.0,-8.08568e-07
3.0,3.0,9.37165e-05
4.0,3.0,-4.21469e-05
5.0,3.0,3.46081e-05
6.0,3.0,-1.04471e-05
7.0,3.0,1.40009e-05
8.0,3.0,4.033e-05
9.0,3.0,5.4595e-06
1.0,4.0,1.42823e-05
2.0,4.0,-1.17277e-05
3.0,4.0,-4.21469e-05
4.0,4.0,6.5597e-05
5.0,4.0,-3.51365e-05
6.0,4.0,2.95783e-05
7.0,4.0,-8.7852e-06
8.0,4.0,-2.58785e-05
9.0,4.0,-8.14269e-06
1.0,5.0,-3.39395e-05
2.0,5.0,-1.75689e-06
3.0,5.0,3.46081e-05
4.0,5.0,-3.51365e-05
5.0,5.0,0.000108188
6.0,5.0,-3.35584e-05
7.0,5.0,1.97443e-05
8.0,5.0,4.13931e-05
9.0,5.0,-4.08895e-06
1.0,6.0,4.50664e-08
2.0,6.0,-5.02567e-06
3.0,6.0,-1.04471e-05
4.0,6.0,2.95783e-05
5.0,6.0,-3.35584e-05
6.0,6.0,7.86733e-05
7.0,6.0,-3.05505e-05
8.0,6.0,-1.84984e-05
9.0,6.0,-9.78552e-06
1.0,7.0,-1.13855e-05
2.0,7.0,-1.03449e-06
3.0,7.0,1.40009e-05
4.0,7.0,-8.7852e-06
5.0,7.0,1.97443e-05
6.0,7.0,-3.05505e-05
7.0,7.0,5.15036e-05
8.0,7.0,3.43874e-08
9.0,7.0,-4.88728e-06
1.0,8.0,-2.87876e-05
2.0,8.0,1.57017e-06
3.0,8.0,4.033e-05
4.0,8.0,-2.58785e-05
5.0,8.0,4.13931e-05
6.0,8.0,-1.84984e-05
7.0,8.0,3.43874e-08
8.0,8.0,6.49183e-05
9.0,8.0,-4.54047e-06
1.0,9.0,1.97108e-06
2.0,9.0,3.53676e-06
3.0,9.0,5.4595e-06
4.0,9.0,-8.14269e-06
5.0,9.0,-4.08895e-06
6.0,9.0,-9.78552e-06
7.0,9.0,-4.88728e-06
8.0,9.0,-4.54047e-06
9.0,9.0,2.68613e-05
1.0,1.0,3.59443e-05
2.0,1.0,-3.0438e-06
3.0,1.0,-4.27325e-05
4.0,1.0,1.42823e-05
5.0,1.0,-3.39395e-05
6.0,1.0,4.50664e-08
7.0,1.0,-1.13855e-05
8.0,1.0,-2.87876e-05
9.0,1.0,1.97108e-06
1.0,2.0,-3.0438e-06
2.0,2.0,1.86949e-05
3.0,2.0,-8.08568e-07
4.0,2.0,-1.17277e-05
5.0,2.0,-1.75689e-06
6.0,2.0,-5.02567e-06
7.0,2.0,-1.03449e-06
8.0,2.0,1.57017e-06
9.0,2.0,3.53676e-06
1.0,3.0,-4.27325e-05
2.0,3.0,-8.08568e-07
3.0,3.0,9.37165e-05
4.0,3.0,-4.21469e-05
5.0,3.0,3.46081e-05
6.0,3.0,-1.04471e-05
7.0,3.0,1.40009e-05
8.0,3.0,4.033e-05
9.0,3.0,5.4595e-06
1.0,4.0,1.42823e-05
2.0,4.0,-1.17277e-05
3.0,4.0,-4.21469e-05
4.0,4.0,6.5597e-05
5.0,4.0,-3.51365e-05
6.0,4.0,2.95783e-05
7.0,4.0,-8.7852e-06
8.0,4.0,-2.58785e-05
9.0,4.0,-8.14269e-06
1.0,5.0,-3.39395e-05
2.0,5.0,-1.75689e-06
3.0,5.0,3.46081e-05
4.0,5.0,-3.51365e-05
5.0,5.0,0.000108188
6.0,5.0,-3.35584e-05
7.0,5.0,1.97443e-05
8.0,5.0,4.13931e-05
9.0,5.0,-4.08895e-06
1.0,6.0,4.50664e-08
2.0,6.0,-5.02567e-06
3.0,6.0,-1.04471e-05
4.0,6.0,2.95783e-05
5.0,6.0,-3.35584e-05
6.0,6.0,7.86733e-05
7.0,6.0,-3.05505e-05
8.0,6.0,-1.84984e-05
9.0,6.0,-9.78552e-06
1.0,7.0,-1.13855e-05
2.0,7.0,-1.03449e-06
3.0,7.0,1.40009e-05
4.0,7.0,-8.7852e-06
5.0,7.0,1.97443e-05
6.0,7.0,-3.05505e-05
7.0,7.0,5.15036e-05
8.0,7.0,3.43874e-08
9.0,7.0,-4.88728e-06
1.0,8.0,-2.87876e-05
2.0,8.0,1.57017e-06
3.0,8.0,4.033e-05
4.0,8.0,-2.58785e-05
5.0,8.0,4.13931e-05
6.0,8.0,-1.84984e-05
7.0,8.0,3.43874e-08
8.0,8.0,6.49183e-05
9.0,8.0,-4.54047e-06
1.0,9.0,1.97108e-06
2.0,9.0,3.53676e-06
3.0,9.0,5.4595e-06
4.0,9.0,-8.14269e-06
5.0,9.0,-4.08895e-06
6.0,9.0,-9.78552e-06
7.0,9.0,-4.88728e-06
8.0,9.0,-4.54047e-06
9.0,9.0,2.68613e-05
1.0,1.0,3.59443e-05
2.0,1.0,-3.0438e-06
3.0,1.0,-4.27325e-05
4.0,1.0,1.42823e-05
5.0,1.0,-3.39395e-05
6.0,1.0,4.50664e-08
7.0,1.0,-1.13855e-05
8.0,1.0,-2.87876e-05
9.0,1.0,1.97108e-06
1.0,2.0,-3.0438e-06
2.0,2.0,1.86949e-05
3.0,2.0,-8.08568e-07
4.0,2.0,-1.17277e-05
5.0,2.0,-1.75689e-06
6.0,2.0,-5.02567e-06
7.0,2.0,-1.03449e-06
8.0,2.0,1.57017e-06
9.0,2.0,3.53676e-06
1.0,3.0,-4.27325e-05
2.0,3.0,-8.08568e-07
3.0,3.0,9.37165e-05
4.0,3.0,-4.21469e-05
5.0,3.0,3.46081e-05
6.0,3.0,-1.04471e-05
7.0,3.0,1.40009e-05
8.0,3.0,4.033e-05
9.0,3.0,5.4595e-06
1.0,4.0,1.42823e-05
2.0,4.0,-1.17277e-05
3.0,4.0,-4.21469e-05
4.0,4.0,6.5597e-05
5.0,4.0,-3.51365e-05
6.0,4.0,2.95783e-05
7.0,4.0,-8.7852e-06
8.0,4.0,-2.58785e-05
9.0,4.0,-8.14269e-06
1.0,5.0,-3.39395e-05
2.0,5.0,-1.75689e-06
3.0,5.0,3.46081e-05
4.0,5.0,-3.51365e-05
5.0,5.0,0.000108188
6.0,5.0,-3.35584e-05
7.0,5.0,1.97443e-05
8.0,5.0,4.13931e-05
9.0,5.0,-4.08895e-06
1.0,6.0,4.50664e-08
2.0,6.0,-5.02567e-06
3.0,6.0,-1.04471e-05
4.0,6.0,2.95783e-05
5.0,6.0,-3.35584e-05
6.0,6.0,7.86733e-05
7.0,6.0,-3.05505e-05
8.0,6.0,-1.84984e-05
9.0,6.0,-9.78552e-06
1.0,7.0,-1.13855e-05
2.0,7.0,-1.03449e-06
3.0,7.0,1.40009e-05
4.0,7.0,-8.7852e-06
5.0,7.0,1.97443e-05
6.0,7.0,-3.05505e-05
7.0,7.0,5.15036e-05
8.0,7.0,3.43874e-08
9.0,7.0,-4.88728e-06
1.0,8.0,-2.87876e-05
2.0,8.0,1.57017e-06
3.0,8.0,4.033e-05
4.0,8.0,-2.58785e-05
5.0,8.0,4.13931e-05
6.0,8.0,-1.84984e-05
7.0,8.0,3.43874e-08
8.0,8.0,6.49183e-05
9.0,8.0,-4.54047e-06
1.0,9.0,1.97108e-06
2.0,9.0,3.53676e-06
3.0,9.0,5.4595e-06
4.0,9.0,-8.14269e-06
5.0,9.0,-4.08895e-06
6.0,9.0,-9.78552e-06
7.0,9.0,-4.88728e-06
8.0,9.0,-4.54047e-06
9.0,9.0,2.68613e-05
1.0,1.0,3.59443e-05
2.0,1.0,-3.0438e-06
3.0,1.0,-4.27325e-05
4.0,1.0,1.42823e-05
5.0,1.0,-3.39395e-05
6.0,1.0,4.50664e-08
7.0,1.0,-1.13855e-05
8.0,1.0,-2.87876e-05
9.0,1.0,1.97108e-06
1.0,2.0,-3.0438e-06
2.0,2.0,1.86949e-05
3.0,2.0,-8.08568e-07
4.0,2.0,-1.17277e-05
5.0,2.0,-1.75689e-06
6.0,2.0,-5.02567e-06
7.0,2.0,-1.03449e-06
8.0,2.0,1.57017e-06
9.0,2.0,3.53676e-06
1.0,3.0,-4.27325e-05
2.0,3.0,-8.08568e-07
3.0,3.0,9.37165e-05
4.0,3.0,-4.21469e-05
5.0,3.0,3.46081e-05
6.0,3.0,-1.04471e-05
7.0,3.0,1.40009e-05
8.0,3.0,4.033e-05
9.0,3.0,5.4595e-06
1.0,4.0,1.42823e-05
2.0,4.0,-1.17277e-05
3.0,4.0,-4.21469e-05
4.0,4.0,6.5597e-05
5.0,4.0,-3.51365e-05
6.0,4.0,2.95783e-05
7.0,4.0,-8.7852e-06
8.0,4.0,-2.58785e-05
9.0,4.0,-8.14269e-06
1.0,5.0,-3.39395e-05
2.0,5.0,-1.75689e-06
3.0,5.0,3.46081e-05
4.0,5.0,-3.51365e-05
5.0,5.0,0.000108188
6.0,5.0,-3.35584e-05
7.0,5.0,1.97443e-05
8.0,5.0,4.13931e-05
9.0,5.0,-4.08895e-06
1.0,6.0,4.50664e-08
2.0,6.0,-5.02567e-06
3.0,6.0,-1.04471e-05
4.0,6.0,2.95783e-05
5.0,6.0,-3.35584e-05
6.0,6.0,7.86733e-05
7.0,6.0,-3.05505e-05
8.0,6.0,-1.84984e-05
9.0,6.0,-9.78552e-06
1.0,7.0,-1.13855e-05
2.0,7.0,-1.03449e-06
3.0,7.0,1.40009e-05
4.0,7.0,-8.7852e-06
5.0,7.0,1.97443e-05
6.0,7.0,-3.05505e-05
7.0,7.0,5.15036e-05
8.0,7.0,3.43874e-08
9.0,7.0,-4.88728e-06
1.0,8.0,-2.87876e-05
2.0,8.0,1.57017e-06
3.0,8.0,4.033e-05
4.0,8.0,-2.58785e-05
5.0,8.0,4.13931e-05
6.0,8.0,-1.84984e-05
7.0,8.0,3.43874e-08
8.0,8.0,6.49183e-05
9.0,8.0,-4.54047e-06
1.0,9.0,1.97108e-06
2.0,9.0,3.53676e-06
3.0,9.0,5.4595e-06
4.0,9.0,-8.14269e-06
5.0,9.0,-4.08895e-06
6.0,9.0,-9.78552e-06
7.0,9.0,-4.88728e-06
8.0,9.0,-4.54047e-06
9.0,9.0,2.68613e-05
1.0,1.0,3.59443e-05
2.0,1.0,-3.0438e-06
3.0,1.0,-4.27325e-05
4.0,1.0,1.42823e-05
5.0,1.0,-3.39395e-05
6.0,1.0,4.50664e-08
7.0,1.0,-1.13855e-05
8.0,1.0,-2.87876e-05
9.0,1.0,1.97108e-06
1.0,2.0,-3.0438e-06
2.0,2.0,1.86949e-05
3.0,2.0,-8.08568e-07
4.0,2.0,-1.17277e-05
5.0,2.0,-1.75689e-06
6.0,2.0,-5.02567e-06
7.0,2.0,-1.03449e-06
8.0,2.0,1.57017e-06
9.0,2.0,3.53676e-06
1.0,3.0,-4.27325e-05
2.0,3.0,-8.08568e-07
3.0,3.0,9.37165e-05
4.0,3.0,-4.21469e-05
5.0,3.0,3.46081e-05
6.0,3.0,-1.04471e-05
7.0,3.0,1.40009e-05
8.0,3.0,4.033e-05
9.0,3.0,5.4595e-06
1.0,4.0,1.42823e-05
2.0,4.0,-1.17277e-05
3.0,4.0,-4.21469e-05
4.0,4.0,6.5597e-05
5.0,4.0,-3.51365e-05
6.0,4.0,2.95783e-05
7.0,4.0,-8.7852e-06
8.0,4.0,-2.58785e-05
9.0,4.0,-8.14269e-06
1.0,5.0,-3.39395e-05
2.0,5.0,-1.75689e-06
3.0,5.0,3.46081e-05
4.0,5.0,-3.51365e-05
5.0,5.0,0.000108188
6.0,5.0,-3.35584e-05
7.0,5.0,1.97443e-05
8.0,5.0,4.13931e-05
9.0,5.0,-4.08895e-06
1.0,6.0,4.50664e-08
2.0,6.0,-5.02567e-06
3.0,6.0,-1.04471e-05
4.0,6.0,2.95783e-05
5.0,6.0,-3.35584e-05
6.0,6.0,7.86733e-05
7.0,6.0,-3.05505e-05
8.0,6.0,-1.84984e-05
9.0,6.0,-9.78552e-06
1.0,7.0,-1.13855e-05
2.0,7.0,-1.03449e-06
3.0,7.0,1.40009e-05
4.0,7.0,-8.7852e-06
5.0,7.0,1.97443e-05
6.0,7.0,-3.05505e-05
7.0,7.0,5.15036e-05
8.0,7.0,3.43874e-08
9.0,7.0,-4.88728e-06
1.0,8.0,-2.87876e-05
2.0,8.0,1.57017e-06
3.0,8.0,4.033e-05
4.0,8.0,-2.58785e-05
5.0,8.0,4.13931e-05
6.0,8.0,-1.84984e-05
7.0,8.0,3.43874e-08
8.0,8.0,6.49183e-05
9.0,8.0,-4.54047e-06
1.0,9.0,1.97108e-06
2.0,9.0,3.53676e-06
3.0,9.0,5.4595e-06
4.0,9.0,-8.14269e-06
5.0,9.0,-4.08895e-06
6.0,9.0,-9.78552e-06
7.0,9.0,-4.88728e-06
8.0,9.0,-4.54047e-06
9.0,9.0,2.68613e-05
1.0,1.0,3.59443e-05
2.0,1.0,-3.0438e-06
3.0,1.0,-4.27325e-05
4.0,1.0,1.42823e-05
5.0,1.0,-3.39395e-05
6.0,1.0,4.50664e-08
7.0,1.0,-1.13855e-05
8.0,1.0,-2.87876e-05
9.0,1.0,1.97108e-06
1.0,2.0,-3.0438e-06
2.0,2.0,1.86949e-05
3.0,2.0,-8.08568e-07
4.0,2.0,-1.17277e-05
5.0,2.0,-1.75689e-06
6.0,2.0,-5.02567e-06
7.0,2.0,-1.03449e-06
8.0,2.0,1.57017e-06
9.0,2.0,3.53676e-06
1.0,3.0,-4.27325e-05
2.0,3.0,-8.08568e-07
3.0,3.0,9.37165e-05
4.0,3.0,-4.21469e-05
5.0,3.0,3.46081e-05
6.0,3.0,-1.04471e-05
7.0,3.0,1.40009e-05
8.0,3.0,4.033e-05
9.0,3.0,5.4595e-06
1.0,4.0,1.42823e-05
2.0,4.0,-1.17277e-05
3.0,4.0,-4.21469e-05
4.0,4.0,6.5597e-05
5.0,4.0,-3.51365e-05
6.0,4.0,2.95783e-05
7.0,4.0,-8.7852e-06
8.0,4.0,-2.58785e-05
9.0,4.0,-8.14269e-06
1.0,5.0,-3.39395e-05
2.0,5.0,-1.75689e-06
3.0,5.0,3.46081e-05
4.0,5.0,-3.51365e-05
5.0,5.0,0.000108188
6.0,5.0,-3.35584e-05
7.0,5.0,1.97443e-05
8.0,5.0,4.13931e-05
9.0,5.0,-4.08895e-06
1.0,6.0,4.50664e-08
2.0,6.0,-5.02567e-06
3.0,6.0,-1.04471e-05
4.0,6.0,2.95783e-05
5.0,6.0,-3.35584e-05
6.0,6.0,7.86733e-05
7.0,6.0,-3.05505e-05
8.0,6.0,-1.84984e-05
9.0,6.0,-9.78552e-06
1.0,7.0,-1.13855e-05
2.0,7.0,-1.03449e-06
3.0,7.0,1.40009e-05
4.0,7.0,-8.7852e-06
5.0,7.0,1.97443e-05
6.0,7.0,-3.05505e-05
7.0,7.0,5.15036e-05
8.0,7.0,3.43874e-08
9.0,7.0,-4.88728e-06
1.0,8.0,-2.87876e-05
2.0,8.0,1.57017e-06
3.0,8.0,4.033e-05
4.0,8.0,-2.58785e-05
5.0,8.0,4.13931e-05
6.0,8.0,-1.84984e-05
7.0,8.0,3.43874e-08
8.0,8.0,6.49183e-05
9.0,8.0,-4.54047e-06
1.0,9.0,1.97108e-06
2.0,9.0,3.53676e-06
3.0,9.0,5.4595e-06
4.0,9.0,-8.14269e-06
5.0,9.0,-4.08895e-06
6.0,9.0,-9.78552e-06
7.0,9.0,-4.88728e-06
8.0,9.0,-4.54047e-06
9.0,9.0,2.68613e-05

