#: table_doi: 10.17182/hepdata.89307.v1/t82
#: name: Table 82
#: description: Covariance matrix of the absolute differential cross section at parton level as a function of $y_{t\bar{t}}$.
#: data_file: d041-x01-y01_cov.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword observables: SIG
#: keyword phrases: Top | Differential Cross Section | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 13000.0
#: ,COVARIANCE MATRIX
Bin,Bin,
9.0,2.0,103.017
10.0,2.0,44.7398
1.0,3.0,33.1055
2.0,3.0,130.738
3.0,3.0,249.692
4.0,3.0,203.44
5.0,3.0,257.325
6.0,3.0,244.263
7.0,3.0,251.298
8.0,3.0,207.732
9.0,3.0,142.972
10.0,3.0,53.2928
1.0,4.0,92.186
2.0,4.0,161.201
3.0,4.0,203.44
4.0,4.0,362.472
5.0,4.0,271.98
6.0,4.0,360.585
7.0,4.0,302.718
8.0,4.0,208.254
9.0,4.0,173.351
10.0,4.0,73.7212
1.0,5.0,59.7924
2.0,5.0,166.111
3.0,5.0,257.325
4.0,5.0,271.98
5.0,5.0,371.226
6.0,5.0,290.214
7.0,5.0,323.077
8.0,5.0,255.301
9.0,5.0,175.733
10.0,5.0,67.6345
1.0,6.0,88.2855
2.0,6.0,178.699
3.0,6.0,244.263
4.0,6.0,360.585
5.0,6.0,290.214
6.0,6.0,443.836
7.0,6.0,302.034
8.0,6.0,228.774
9.0,6.0,184.136
10.0,6.0,77.6518
1.0,7.0,72.5953
2.0,7.0,171.885
3.0,7.0,251.298
4.0,7.0,302.718
5.0,7.0,323.077
6.0,7.0,302.034
7.0,7.0,363.226
8.0,7.0,233.206
9.0,7.0,178.031
10.0,7.0,74.3685
1.0,8.0,41.2379
2.0,8.0,129.042
3.0,8.0,207.732
4.0,8.0,208.254
5.0,8.0,255.301
6.0,8.0,228.774
7.0,8.0,233.206
8.0,8.0,222.824
9.0,8.0,131.809
10.0,8.0,52.417
1.0,9.0,47.9083
2.0,9.0,103.017
3.0,9.0,142.972
4.0,9.0,173.351
5.0,9.0,175.733
6.0,9.0,184.136
7.0,9.0,178.031
8.0,9.0,131.809
9.0,9.0,127.172
10.0,9.0,42.5171
1.0,10.0,21.7514
2.0,10.0,44.7398
3.0,10.0,53.2928
4.0,10.0,73.7212
5.0,10.0,67.6345
6.0,10.0,77.6518
7.0,10.0,74.3685
8.0,10.0,52.417
9.0,10.0,42.5171
10.0,10.0,27.6138
1.0,1.0,43.0155
2.0,1.0,42.9345
3.0,1.0,33.1055
4.0,1.0,92.186
5.0,1.0,59.7924
6.0,1.0,88.2855
7.0,1.0,72.5953
8.0,1.0,41.2379
9.0,1.0,47.9083
10.0,1.0,21.7514
1.0,2.0,42.9345
2.0,2.0,109.15
3.0,2.0,130.738
4.0,2.0,161.201
5.0,2.0,166.111
6.0,2.0,178.699
7.0,2.0,171.885
8.0,2.0,129.042
9.0,2.0,103.017
10.0,2.0,44.7398
1.0,3.0,33.1055
2.0,3.0,130.738
3.0,3.0,249.692
4.0,3.0,203.44
5.0,3.0,257.325
6.0,3.0,244.263
7.0,3.0,251.298
8.0,3.0,207.732
9.0,3.0,142.972
10.0,3.0,53.2928
1.0,4.0,92.186
2.0,4.0,161.201
3.0,4.0,203.44
4.0,4.0,362.472
5.0,4.0,271.98
6.0,4.0,360.585
7.0,4.0,302.718
8.0,4.0,208.254
9.0,4.0,173.351
10.0,4.0,73.7212
1.0,5.0,59.7924
2.0,5.0,166.111
3.0,5.0,257.325
4.0,5.0,271.98
5.0,5.0,371.226
6.0,5.0,290.214
7.0,5.0,323.077
8.0,5.0,255.301
9.0,5.0,175.733
10.0,5.0,67.6345
1.0,6.0,88.2855
2.0,6.0,178.699
3.0,6.0,244.263
4.0,6.0,360.585
5.0,6.0,290.214
6.0,6.0,443.836
7.0,6.0,302.034
8.0,6.0,228.774
9.0,6.0,184.136
10.0,6.0,77.6518
1.0,7.0,72.5953
2.0,7.0,171.885
3.0,7.0,251.298
4.0,7.0,302.718
5.0,7.0,323.077
6.0,7.0,302.034
7.0,7.0,363.226
8.0,7.0,233.206
9.0,7.0,178.031
10.0,7.0,74.3685
1.0,8.0,41.2379
2.0,8.0,129.042
3.0,8.0,207.732
4.0,8.0,208.254
5.0,8.0,255.301
6.0,8.0,228.774
7.0,8.0,233.206
8.0,8.0,222.824
9.0,8.0,131.809
10.0,8.0,52.417
1.0,9.0,47.9083
2.0,9.0,103.017
3.0,9.0,142.972
4.0,9.0,173.351
5.0,9.0,175.733
6.0,9.0,184.136
7.0,9.0,178.031
8.0,9.0,131.809
9.0,9.0,127.172
10.0,9.0,42.5171
1.0,10.0,21.7514
2.0,10.0,44.7398
3.0,10.0,53.2928
4.0,10.0,73.7212
5.0,10.0,67.6345
6.0,10.0,77.6518
7.0,10.0,74.3685
8.0,10.0,52.417
9.0,10.0,42.5171
10.0,10.0,27.6138
1.0,1.0,43.0155
2.0,1.0,42.9345
3.0,1.0,33.1055
4.0,1.0,92.186
5.0,1.0,59.7924
6.0,1.0,88.2855
7.0,1.0,72.5953
8.0,1.0,41.2379
9.0,1.0,47.9083
10.0,1.0,21.7514
1.0,2.0,42.9345
2.0,2.0,109.15
3.0,2.0,130.738
4.0,2.0,161.201
5.0,2.0,166.111
6.0,2.0,178.699
7.0,2.0,171.885
8.0,2.0,129.042
9.0,2.0,103.017
10.0,2.0,44.7398
1.0,3.0,33.1055
2.0,3.0,130.738
3.0,3.0,249.692
4.0,3.0,203.44
5.0,3.0,257.325
6.0,3.0,244.263
7.0,3.0,251.298
8.0,3.0,207.732
9.0,3.0,142.972
10.0,3.0,53.2928
1.0,4.0,92.186
2.0,4.0,161.201
3.0,4.0,203.44
4.0,4.0,362.472
5.0,4.0,271.98
6.0,4.0,360.585
7.0,4.0,302.718
8.0,4.0,208.254
9.0,4.0,173.351
10.0,4.0,73.7212
1.0,5.0,59.7924
2.0,5.0,166.111
3.0,5.0,257.325
4.0,5.0,271.98
5.0,5.0,371.226
6.0,5.0,290.214
7.0,5.0,323.077
8.0,5.0,255.301
9.0,5.0,175.733
10.0,5.0,67.6345
1.0,6.0,88.2855
2.0,6.0,178.699
3.0,6.0,244.263
4.0,6.0,360.585
5.0,6.0,290.214
6.0,6.0,443.836
7.0,6.0,302.034
8.0,6.0,228.774
9.0,6.0,184.136
10.0,6.0,77.6518
1.0,7.0,72.5953
2.0,7.0,171.885
3.0,7.0,251.298
4.0,7.0,302.718
5.0,7.0,323.077
6.0,7.0,302.034
7.0,7.0,363.226
8.0,7.0,233.206
9.0,7.0,178.031
10.0,7.0,74.3685
1.0,8.0,41.2379
2.0,8.0,129.042
3.0,8.0,207.732
4.0,8.0,208.254
5.0,8.0,255.301
6.0,8.0,228.774
7.0,8.0,233.206
8.0,8.0,222.824
9.0,8.0,131.809
10.0,8.0,52.417
1.0,9.0,47.9083
2.0,9.0,103.017
3.0,9.0,142.972
4.0,9.0,173.351
5.0,9.0,175.733
6.0,9.0,184.136
7.0,9.0,178.031
8.0,9.0,131.809
9.0,9.0,127.172
10.0,9.0,42.5171
1.0,10.0,21.7514
2.0,10.0,44.7398
3.0,10.0,53.2928
4.0,10.0,73.7212
5.0,10.0,67.6345
6.0,10.0,77.6518
7.0,10.0,74.3685
8.0,10.0,52.417
9.0,10.0,42.5171
10.0,10.0,27.6138
1.0,1.0,43.0155
2.0,1.0,42.9345
3.0,1.0,33.1055
4.0,1.0,92.186
5.0,1.0,59.7924
6.0,1.0,88.2855
7.0,1.0,72.5953
8.0,1.0,41.2379
9.0,1.0,47.9083
10.0,1.0,21.7514
1.0,2.0,42.9345
2.0,2.0,109.15
3.0,2.0,130.738
4.0,2.0,161.201
5.0,2.0,166.111
6.0,2.0,178.699
7.0,2.0,171.885
8.0,2.0,129.042
9.0,2.0,103.017
10.0,2.0,44.7398
1.0,3.0,33.1055
2.0,3.0,130.738
3.0,3.0,249.692
4.0,3.0,203.44
5.0,3.0,257.325
6.0,3.0,244.263
7.0,3.0,251.298
8.0,3.0,207.732
9.0,3.0,142.972
10.0,3.0,53.2928
1.0,4.0,92.186
2.0,4.0,161.201
3.0,4.0,203.44
4.0,4.0,362.472
5.0,4.0,271.98
6.0,4.0,360.585
7.0,4.0,302.718
8.0,4.0,208.254
9.0,4.0,173.351
10.0,4.0,73.7212
1.0,5.0,59.7924
2.0,5.0,166.111
3.0,5.0,257.325
4.0,5.0,271.98
5.0,5.0,371.226
6.0,5.0,290.214
7.0,5.0,323.077
8.0,5.0,255.301
9.0,5.0,175.733
10.0,5.0,67.6345
1.0,6.0,88.2855
2.0,6.0,178.699
3.0,6.0,244.263
4.0,6.0,360.585
5.0,6.0,290.214
6.0,6.0,443.836
7.0,6.0,302.034
8.0,6.0,228.774
9.0,6.0,184.136
10.0,6.0,77.6518
1.0,7.0,72.5953
2.0,7.0,171.885
3.0,7.0,251.298
4.0,7.0,302.718
5.0,7.0,323.077
6.0,7.0,302.034
7.0,7.0,363.226
8.0,7.0,233.206
9.0,7.0,178.031
10.0,7.0,74.3685
1.0,8.0,41.2379
2.0,8.0,129.042
3.0,8.0,207.732
4.0,8.0,208.254
5.0,8.0,255.301
6.0,8.0,228.774
7.0,8.0,233.206
8.0,8.0,222.824
9.0,8.0,131.809
10.0,8.0,52.417
1.0,9.0,47.9083
2.0,9.0,103.017
3.0,9.0,142.972
4.0,9.0,173.351
5.0,9.0,175.733
6.0,9.0,184.136
7.0,9.0,178.031
8.0,9.0,131.809
9.0,9.0,127.172
10.0,9.0,42.5171
1.0,10.0,21.7514
2.0,10.0,44.7398
3.0,10.0,53.2928
4.0,10.0,73.7212
5.0,10.0,67.6345
6.0,10.0,77.6518
7.0,10.0,74.3685
8.0,10.0,52.417
9.0,10.0,42.5171
10.0,10.0,27.6138
1.0,1.0,43.0155
2.0,1.0,42.9345
3.0,1.0,33.1055
4.0,1.0,92.186
5.0,1.0,59.7924
6.0,1.0,88.2855
7.0,1.0,72.5953
8.0,1.0,41.2379
9.0,1.0,47.9083
10.0,1.0,21.7514
1.0,2.0,42.9345
2.0,2.0,109.15
3.0,2.0,130.738
4.0,2.0,161.201
5.0,2.0,166.111
6.0,2.0,178.699
7.0,2.0,171.885
8.0,2.0,129.042
9.0,2.0,103.017
10.0,2.0,44.7398
1.0,3.0,33.1055
2.0,3.0,130.738
3.0,3.0,249.692
4.0,3.0,203.44
5.0,3.0,257.325
6.0,3.0,244.263
7.0,3.0,251.298
8.0,3.0,207.732
9.0,3.0,142.972
10.0,3.0,53.2928
1.0,4.0,92.186
2.0,4.0,161.201
3.0,4.0,203.44
4.0,4.0,362.472
5.0,4.0,271.98
6.0,4.0,360.585
7.0,4.0,302.718
8.0,4.0,208.254
9.0,4.0,173.351
10.0,4.0,73.7212
1.0,5.0,59.7924
2.0,5.0,166.111
3.0,5.0,257.325
4.0,5.0,271.98
5.0,5.0,371.226
6.0,5.0,290.214
7.0,5.0,323.077
8.0,5.0,255.301
9.0,5.0,175.733
10.0,5.0,67.6345
1.0,6.0,88.2855
2.0,6.0,178.699
3.0,6.0,244.263
4.0,6.0,360.585
5.0,6.0,290.214
6.0,6.0,443.836
7.0,6.0,302.034
8.0,6.0,228.774
9.0,6.0,184.136
10.0,6.0,77.6518
1.0,7.0,72.5953
2.0,7.0,171.885
3.0,7.0,251.298
4.0,7.0,302.718
5.0,7.0,323.077
6.0,7.0,302.034
7.0,7.0,363.226
8.0,7.0,233.206
9.0,7.0,178.031
10.0,7.0,74.3685
1.0,8.0,41.2379
2.0,8.0,129.042
3.0,8.0,207.732
4.0,8.0,208.254
5.0,8.0,255.301
6.0,8.0,228.774
7.0,8.0,233.206
8.0,8.0,222.824
9.0,8.0,131.809
10.0,8.0,52.417
1.0,9.0,47.9083
2.0,9.0,103.017
3.0,9.0,142.972
4.0,9.0,173.351
5.0,9.0,175.733
6.0,9.0,184.136
7.0,9.0,178.031
8.0,9.0,131.809
9.0,9.0,127.172
10.0,9.0,42.5171
1.0,10.0,21.7514
2.0,10.0,44.7398
3.0,10.0,53.2928
4.0,10.0,73.7212
5.0,10.0,67.6345
6.0,10.0,77.6518
7.0,10.0,74.3685
8.0,10.0,52.417
9.0,10.0,42.5171
10.0,10.0,27.6138
1.0,1.0,43.0155
2.0,1.0,42.9345
3.0,1.0,33.1055
4.0,1.0,92.186
5.0,1.0,59.7924
6.0,1.0,88.2855
7.0,1.0,72.5953
8.0,1.0,41.2379
9.0,1.0,47.9083
10.0,1.0,21.7514
1.0,2.0,42.9345
2.0,2.0,109.15
3.0,2.0,130.738
4.0,2.0,161.201
5.0,2.0,166.111
6.0,2.0,178.699
7.0,2.0,171.885
8.0,2.0,129.042
9.0,2.0,103.017
10.0,2.0,44.7398
1.0,3.0,33.1055
2.0,3.0,130.738
3.0,3.0,249.692
4.0,3.0,203.44
5.0,3.0,257.325
6.0,3.0,244.263
7.0,3.0,251.298
8.0,3.0,207.732
9.0,3.0,142.972
10.0,3.0,53.2928
1.0,4.0,92.186
2.0,4.0,161.201
3.0,4.0,203.44
4.0,4.0,362.472
5.0,4.0,271.98
6.0,4.0,360.585
7.0,4.0,302.718
8.0,4.0,208.254
9.0,4.0,173.351
10.0,4.0,73.7212
1.0,5.0,59.7924
2.0,5.0,166.111
3.0,5.0,257.325
4.0,5.0,271.98
5.0,5.0,371.226
6.0,5.0,290.214
7.0,5.0,323.077
8.0,5.0,255.301
9.0,5.0,175.733
10.0,5.0,67.6345
1.0,6.0,88.2855
2.0,6.0,178.699
3.0,6.0,244.263
4.0,6.0,360.585
5.0,6.0,290.214
6.0,6.0,443.836
7.0,6.0,302.034
8.0,6.0,228.774
9.0,6.0,184.136
10.0,6.0,77.6518
1.0,7.0,72.5953
2.0,7.0,171.885
3.0,7.0,251.298
4.0,7.0,302.718
5.0,7.0,323.077
6.0,7.0,302.034
7.0,7.0,363.226
8.0,7.0,233.206
9.0,7.0,178.031
10.0,7.0,74.3685
1.0,8.0,41.2379
2.0,8.0,129.042
3.0,8.0,207.732
4.0,8.0,208.254
5.0,8.0,255.301
6.0,8.0,228.774
7.0,8.0,233.206
8.0,8.0,222.824
9.0,8.0,131.809
10.0,8.0,52.417
1.0,9.0,47.9083
2.0,9.0,103.017
3.0,9.0,142.972
4.0,9.0,173.351
5.0,9.0,175.733
6.0,9.0,184.136
7.0,9.0,178.031
8.0,9.0,131.809
9.0,9.0,127.172
10.0,9.0,42.5171
1.0,10.0,21.7514
2.0,10.0,44.7398
3.0,10.0,53.2928
4.0,10.0,73.7212
5.0,10.0,67.6345
6.0,10.0,77.6518
7.0,10.0,74.3685
8.0,10.0,52.417
9.0,10.0,42.5171
10.0,10.0,27.6138

