#: table_doi: 10.17182/hepdata.89307.v1/t44
#: name: Table 44
#: description: Covariance matrix of the normalised differential cross section at parton level as a function of $y_{t}$.
#: data_file: d022-x01-y01_cov.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword observables: SIG
#: keyword phrases: Top | Differential Cross Section | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 13000.0
#: ,COVARIANCE MATRIX
Bin,Bin,
2.0,4.0,-1.78786e-06
3.0,4.0,-2.1827e-07
4.0,4.0,4.07763e-05
5.0,4.0,-1.54523e-05
6.0,4.0,1.4875e-05
7.0,4.0,-1.1566e-05
8.0,4.0,1.53584e-06
9.0,4.0,1.15449e-05
1.0,5.0,-4.67541e-06
2.0,5.0,-1.56473e-07
3.0,5.0,-1.76533e-05
4.0,5.0,-1.54523e-05
5.0,5.0,8.56472e-05
6.0,5.0,-5.90979e-05
7.0,5.0,3.29523e-05
8.0,5.0,1.3823e-05
9.0,5.0,-2.32602e-05
1.0,6.0,-9.53471e-06
2.0,6.0,4.17851e-06
3.0,6.0,1.16203e-05
4.0,6.0,1.4875e-05
5.0,6.0,-5.90979e-05
6.0,6.0,0.000132407
7.0,6.0,-7.48763e-05
8.0,6.0,-1.12294e-05
9.0,6.0,3.27145e-05
1.0,7.0,-9.63656e-06
2.0,7.0,6.86672e-07
3.0,7.0,8.46992e-06
4.0,7.0,-1.1566e-05
5.0,7.0,3.29523e-05
6.0,7.0,-7.48763e-05
7.0,7.0,9.28474e-05
8.0,7.0,-5.94433e-06
9.0,7.0,-3.50764e-05
1.0,8.0,4.41592e-07
2.0,8.0,-3.44273e-06
3.0,8.0,-2.9104e-06
4.0,8.0,1.53584e-06
5.0,8.0,1.3823e-05
6.0,8.0,-1.12294e-05
7.0,8.0,-5.94433e-06
8.0,8.0,2.86879e-05
9.0,8.0,-6.51531e-06
1.0,9.0,1.15563e-06
2.0,9.0,3.19719e-06
3.0,9.0,2.61578e-08
4.0,9.0,1.15449e-05
5.0,9.0,-2.32602e-05
6.0,9.0,3.27145e-05
7.0,9.0,-3.50764e-05
8.0,9.0,-6.51531e-06
9.0,9.0,3.15622e-05
1.0,1.0,1.7488e-05
2.0,1.0,-9.01231e-06
3.0,1.0,-1.5333e-05
4.0,1.0,-5.63753e-06
5.0,1.0,-4.67541e-06
6.0,1.0,-9.53471e-06
7.0,1.0,-9.63656e-06
8.0,1.0,4.41592e-07
9.0,1.0,1.15563e-06
1.0,2.0,-9.01231e-06
2.0,2.0,2.13329e-05
3.0,2.0,6.15254e-06
4.0,2.0,-1.78786e-06
5.0,2.0,-1.56473e-07
6.0,2.0,4.17851e-06
7.0,2.0,6.86672e-07
8.0,2.0,-3.44273e-06
9.0,2.0,3.19719e-06
1.0,3.0,-1.5333e-05
2.0,3.0,6.15254e-06
3.0,3.0,4.0393e-05
4.0,3.0,-2.1827e-07
5.0,3.0,-1.76533e-05
6.0,3.0,1.16203e-05
7.0,3.0,8.46992e-06
8.0,3.0,-2.9104e-06
9.0,3.0,2.61578e-08
1.0,4.0,-5.63753e-06
2.0,4.0,-1.78786e-06
3.0,4.0,-2.1827e-07
4.0,4.0,4.07763e-05
5.0,4.0,-1.54523e-05
6.0,4.0,1.4875e-05
7.0,4.0,-1.1566e-05
8.0,4.0,1.53584e-06
9.0,4.0,1.15449e-05
1.0,5.0,-4.67541e-06
2.0,5.0,-1.56473e-07
3.0,5.0,-1.76533e-05
4.0,5.0,-1.54523e-05
5.0,5.0,8.56472e-05
6.0,5.0,-5.90979e-05
7.0,5.0,3.29523e-05
8.0,5.0,1.3823e-05
9.0,5.0,-2.32602e-05
1.0,6.0,-9.53471e-06
2.0,6.0,4.17851e-06
3.0,6.0,1.16203e-05
4.0,6.0,1.4875e-05
5.0,6.0,-5.90979e-05
6.0,6.0,0.000132407
7.0,6.0,-7.48763e-05
8.0,6.0,-1.12294e-05
9.0,6.0,3.27145e-05
1.0,7.0,-9.63656e-06
2.0,7.0,6.86672e-07
3.0,7.0,8.46992e-06
4.0,7.0,-1.1566e-05
5.0,7.0,3.29523e-05
6.0,7.0,-7.48763e-05
7.0,7.0,9.28474e-05
8.0,7.0,-5.94433e-06
9.0,7.0,-3.50764e-05
1.0,8.0,4.41592e-07
2.0,8.0,-3.44273e-06
3.0,8.0,-2.9104e-06
4.0,8.0,1.53584e-06
5.0,8.0,1.3823e-05
6.0,8.0,-1.12294e-05
7.0,8.0,-5.94433e-06
8.0,8.0,2.86879e-05
9.0,8.0,-6.51531e-06
1.0,9.0,1.15563e-06
2.0,9.0,3.19719e-06
3.0,9.0,2.61578e-08
4.0,9.0,1.15449e-05
5.0,9.0,-2.32602e-05
6.0,9.0,3.27145e-05
7.0,9.0,-3.50764e-05
8.0,9.0,-6.51531e-06
9.0,9.0,3.15622e-05
1.0,1.0,1.7488e-05
2.0,1.0,-9.01231e-06
3.0,1.0,-1.5333e-05
4.0,1.0,-5.63753e-06
5.0,1.0,-4.67541e-06
6.0,1.0,-9.53471e-06
7.0,1.0,-9.63656e-06
8.0,1.0,4.41592e-07
9.0,1.0,1.15563e-06
1.0,2.0,-9.01231e-06
2.0,2.0,2.13329e-05
3.0,2.0,6.15254e-06
4.0,2.0,-1.78786e-06
5.0,2.0,-1.56473e-07
6.0,2.0,4.17851e-06
7.0,2.0,6.86672e-07
8.0,2.0,-3.44273e-06
9.0,2.0,3.19719e-06
1.0,3.0,-1.5333e-05
2.0,3.0,6.15254e-06
3.0,3.0,4.0393e-05
4.0,3.0,-2.1827e-07
5.0,3.0,-1.76533e-05
6.0,3.0,1.16203e-05
7.0,3.0,8.46992e-06
8.0,3.0,-2.9104e-06
9.0,3.0,2.61578e-08
1.0,4.0,-5.63753e-06
2.0,4.0,-1.78786e-06
3.0,4.0,-2.1827e-07
4.0,4.0,4.07763e-05
5.0,4.0,-1.54523e-05
6.0,4.0,1.4875e-05
7.0,4.0,-1.1566e-05
8.0,4.0,1.53584e-06
9.0,4.0,1.15449e-05
1.0,5.0,-4.67541e-06
2.0,5.0,-1.56473e-07
3.0,5.0,-1.76533e-05
4.0,5.0,-1.54523e-05
5.0,5.0,8.56472e-05
6.0,5.0,-5.90979e-05
7.0,5.0,3.29523e-05
8.0,5.0,1.3823e-05
9.0,5.0,-2.32602e-05
1.0,6.0,-9.53471e-06
2.0,6.0,4.17851e-06
3.0,6.0,1.16203e-05
4.0,6.0,1.4875e-05
5.0,6.0,-5.90979e-05
6.0,6.0,0.000132407
7.0,6.0,-7.48763e-05
8.0,6.0,-1.12294e-05
9.0,6.0,3.27145e-05
1.0,7.0,-9.63656e-06
2.0,7.0,6.86672e-07
3.0,7.0,8.46992e-06
4.0,7.0,-1.1566e-05
5.0,7.0,3.29523e-05
6.0,7.0,-7.48763e-05
7.0,7.0,9.28474e-05
8.0,7.0,-5.94433e-06
9.0,7.0,-3.50764e-05
1.0,8.0,4.41592e-07
2.0,8.0,-3.44273e-06
3.0,8.0,-2.9104e-06
4.0,8.0,1.53584e-06
5.0,8.0,1.3823e-05
6.0,8.0,-1.12294e-05
7.0,8.0,-5.94433e-06
8.0,8.0,2.86879e-05
9.0,8.0,-6.51531e-06
1.0,9.0,1.15563e-06
2.0,9.0,3.19719e-06
3.0,9.0,2.61578e-08
4.0,9.0,1.15449e-05
5.0,9.0,-2.32602e-05
6.0,9.0,3.27145e-05
7.0,9.0,-3.50764e-05
8.0,9.0,-6.51531e-06
9.0,9.0,3.15622e-05
1.0,1.0,1.7488e-05
2.0,1.0,-9.01231e-06
3.0,1.0,-1.5333e-05
4.0,1.0,-5.63753e-06
5.0,1.0,-4.67541e-06
6.0,1.0,-9.53471e-06
7.0,1.0,-9.63656e-06
8.0,1.0,4.41592e-07
9.0,1.0,1.15563e-06
1.0,2.0,-9.01231e-06
2.0,2.0,2.13329e-05
3.0,2.0,6.15254e-06
4.0,2.0,-1.78786e-06
5.0,2.0,-1.56473e-07
6.0,2.0,4.17851e-06
7.0,2.0,6.86672e-07
8.0,2.0,-3.44273e-06
9.0,2.0,3.19719e-06
1.0,3.0,-1.5333e-05
2.0,3.0,6.15254e-06
3.0,3.0,4.0393e-05
4.0,3.0,-2.1827e-07
5.0,3.0,-1.76533e-05
6.0,3.0,1.16203e-05
7.0,3.0,8.46992e-06
8.0,3.0,-2.9104e-06
9.0,3.0,2.61578e-08
1.0,4.0,-5.63753e-06
2.0,4.0,-1.78786e-06
3.0,4.0,-2.1827e-07
4.0,4.0,4.07763e-05
5.0,4.0,-1.54523e-05
6.0,4.0,1.4875e-05
7.0,4.0,-1.1566e-05
8.0,4.0,1.53584e-06
9.0,4.0,1.15449e-05
1.0,5.0,-4.67541e-06
2.0,5.0,-1.56473e-07
3.0,5.0,-1.76533e-05
4.0,5.0,-1.54523e-05
5.0,5.0,8.56472e-05
6.0,5.0,-5.90979e-05
7.0,5.0,3.29523e-05
8.0,5.0,1.3823e-05
9.0,5.0,-2.32602e-05
1.0,6.0,-9.53471e-06
2.0,6.0,4.17851e-06
3.0,6.0,1.16203e-05
4.0,6.0,1.4875e-05
5.0,6.0,-5.90979e-05
6.0,6.0,0.000132407
7.0,6.0,-7.48763e-05
8.0,6.0,-1.12294e-05
9.0,6.0,3.27145e-05
1.0,7.0,-9.63656e-06
2.0,7.0,6.86672e-07
3.0,7.0,8.46992e-06
4.0,7.0,-1.1566e-05
5.0,7.0,3.29523e-05
6.0,7.0,-7.48763e-05
7.0,7.0,9.28474e-05
8.0,7.0,-5.94433e-06
9.0,7.0,-3.50764e-05
1.0,8.0,4.41592e-07
2.0,8.0,-3.44273e-06
3.0,8.0,-2.9104e-06
4.0,8.0,1.53584e-06
5.0,8.0,1.3823e-05
6.0,8.0,-1.12294e-05
7.0,8.0,-5.94433e-06
8.0,8.0,2.86879e-05
9.0,8.0,-6.51531e-06
1.0,9.0,1.15563e-06
2.0,9.0,3.19719e-06
3.0,9.0,2.61578e-08
4.0,9.0,1.15449e-05
5.0,9.0,-2.32602e-05
6.0,9.0,3.27145e-05
7.0,9.0,-3.50764e-05
8.0,9.0,-6.51531e-06
9.0,9.0,3.15622e-05
1.0,1.0,1.7488e-05
2.0,1.0,-9.01231e-06
3.0,1.0,-1.5333e-05
4.0,1.0,-5.63753e-06
5.0,1.0,-4.67541e-06
6.0,1.0,-9.53471e-06
7.0,1.0,-9.63656e-06
8.0,1.0,4.41592e-07
9.0,1.0,1.15563e-06
1.0,2.0,-9.01231e-06
2.0,2.0,2.13329e-05
3.0,2.0,6.15254e-06
4.0,2.0,-1.78786e-06
5.0,2.0,-1.56473e-07
6.0,2.0,4.17851e-06
7.0,2.0,6.86672e-07
8.0,2.0,-3.44273e-06
9.0,2.0,3.19719e-06
1.0,3.0,-1.5333e-05
2.0,3.0,6.15254e-06
3.0,3.0,4.0393e-05
4.0,3.0,-2.1827e-07
5.0,3.0,-1.76533e-05
6.0,3.0,1.16203e-05
7.0,3.0,8.46992e-06
8.0,3.0,-2.9104e-06
9.0,3.0,2.61578e-08
1.0,4.0,-5.63753e-06
2.0,4.0,-1.78786e-06
3.0,4.0,-2.1827e-07
4.0,4.0,4.07763e-05
5.0,4.0,-1.54523e-05
6.0,4.0,1.4875e-05
7.0,4.0,-1.1566e-05
8.0,4.0,1.53584e-06
9.0,4.0,1.15449e-05
1.0,5.0,-4.67541e-06
2.0,5.0,-1.56473e-07
3.0,5.0,-1.76533e-05
4.0,5.0,-1.54523e-05
5.0,5.0,8.56472e-05
6.0,5.0,-5.90979e-05
7.0,5.0,3.29523e-05
8.0,5.0,1.3823e-05
9.0,5.0,-2.32602e-05
1.0,6.0,-9.53471e-06
2.0,6.0,4.17851e-06
3.0,6.0,1.16203e-05
4.0,6.0,1.4875e-05
5.0,6.0,-5.90979e-05
6.0,6.0,0.000132407
7.0,6.0,-7.48763e-05
8.0,6.0,-1.12294e-05
9.0,6.0,3.27145e-05
1.0,7.0,-9.63656e-06
2.0,7.0,6.86672e-07
3.0,7.0,8.46992e-06
4.0,7.0,-1.1566e-05
5.0,7.0,3.29523e-05
6.0,7.0,-7.48763e-05
7.0,7.0,9.28474e-05
8.0,7.0,-5.94433e-06
9.0,7.0,-3.50764e-05
1.0,8.0,4.41592e-07
2.0,8.0,-3.44273e-06
3.0,8.0,-2.9104e-06
4.0,8.0,1.53584e-06
5.0,8.0,1.3823e-05
6.0,8.0,-1.12294e-05
7.0,8.0,-5.94433e-06
8.0,8.0,2.86879e-05
9.0,8.0,-6.51531e-06
1.0,9.0,1.15563e-06
2.0,9.0,3.19719e-06
3.0,9.0,2.61578e-08
4.0,9.0,1.15449e-05
5.0,9.0,-2.32602e-05
6.0,9.0,3.27145e-05
7.0,9.0,-3.50764e-05
8.0,9.0,-6.51531e-06
9.0,9.0,3.15622e-05
1.0,1.0,1.7488e-05
2.0,1.0,-9.01231e-06
3.0,1.0,-1.5333e-05
4.0,1.0,-5.63753e-06
5.0,1.0,-4.67541e-06
6.0,1.0,-9.53471e-06
7.0,1.0,-9.63656e-06
8.0,1.0,4.41592e-07
9.0,1.0,1.15563e-06
1.0,2.0,-9.01231e-06
2.0,2.0,2.13329e-05
3.0,2.0,6.15254e-06
4.0,2.0,-1.78786e-06
5.0,2.0,-1.56473e-07
6.0,2.0,4.17851e-06
7.0,2.0,6.86672e-07
8.0,2.0,-3.44273e-06
9.0,2.0,3.19719e-06
1.0,3.0,-1.5333e-05
2.0,3.0,6.15254e-06
3.0,3.0,4.0393e-05
4.0,3.0,-2.1827e-07
5.0,3.0,-1.76533e-05
6.0,3.0,1.16203e-05
7.0,3.0,8.46992e-06
8.0,3.0,-2.9104e-06
9.0,3.0,2.61578e-08
1.0,4.0,-5.63753e-06
2.0,4.0,-1.78786e-06
3.0,4.0,-2.1827e-07
4.0,4.0,4.07763e-05
5.0,4.0,-1.54523e-05
6.0,4.0,1.4875e-05
7.0,4.0,-1.1566e-05
8.0,4.0,1.53584e-06
9.0,4.0,1.15449e-05
1.0,5.0,-4.67541e-06
2.0,5.0,-1.56473e-07
3.0,5.0,-1.76533e-05
4.0,5.0,-1.54523e-05
5.0,5.0,8.56472e-05
6.0,5.0,-5.90979e-05
7.0,5.0,3.29523e-05
8.0,5.0,1.3823e-05
9.0,5.0,-2.32602e-05
1.0,6.0,-9.53471e-06
2.0,6.0,4.17851e-06
3.0,6.0,1.16203e-05
4.0,6.0,1.4875e-05
5.0,6.0,-5.90979e-05
6.0,6.0,0.000132407
7.0,6.0,-7.48763e-05
8.0,6.0,-1.12294e-05
9.0,6.0,3.27145e-05
1.0,7.0,-9.63656e-06
2.0,7.0,6.86672e-07
3.0,7.0,8.46992e-06
4.0,7.0,-1.1566e-05
5.0,7.0,3.29523e-05
6.0,7.0,-7.48763e-05
7.0,7.0,9.28474e-05
8.0,7.0,-5.94433e-06
9.0,7.0,-3.50764e-05
1.0,8.0,4.41592e-07
2.0,8.0,-3.44273e-06
3.0,8.0,-2.9104e-06
4.0,8.0,1.53584e-06
5.0,8.0,1.3823e-05
6.0,8.0,-1.12294e-05
7.0,8.0,-5.94433e-06
8.0,8.0,2.86879e-05
9.0,8.0,-6.51531e-06
1.0,9.0,1.15563e-06
2.0,9.0,3.19719e-06
3.0,9.0,2.61578e-08
4.0,9.0,1.15449e-05
5.0,9.0,-2.32602e-05
6.0,9.0,3.27145e-05
7.0,9.0,-3.50764e-05
8.0,9.0,-6.51531e-06
9.0,9.0,3.15622e-05
1.0,1.0,1.7488e-05
2.0,1.0,-9.01231e-06
3.0,1.0,-1.5333e-05
4.0,1.0,-5.63753e-06
5.0,1.0,-4.67541e-06
6.0,1.0,-9.53471e-06
7.0,1.0,-9.63656e-06
8.0,1.0,4.41592e-07
9.0,1.0,1.15563e-06
1.0,2.0,-9.01231e-06
2.0,2.0,2.13329e-05
3.0,2.0,6.15254e-06
4.0,2.0,-1.78786e-06
5.0,2.0,-1.56473e-07
6.0,2.0,4.17851e-06
7.0,2.0,6.86672e-07
8.0,2.0,-3.44273e-06
9.0,2.0,3.19719e-06
1.0,3.0,-1.5333e-05
2.0,3.0,6.15254e-06
3.0,3.0,4.0393e-05
4.0,3.0,-2.1827e-07
5.0,3.0,-1.76533e-05
6.0,3.0,1.16203e-05
7.0,3.0,8.46992e-06
8.0,3.0,-2.9104e-06
9.0,3.0,2.61578e-08
1.0,4.0,-5.63753e-06
2.0,4.0,-1.78786e-06
3.0,4.0,-2.1827e-07
4.0,4.0,4.07763e-05
5.0,4.0,-1.54523e-05
6.0,4.0,1.4875e-05
7.0,4.0,-1.1566e-05
8.0,4.0,1.53584e-06
9.0,4.0,1.15449e-05
1.0,5.0,-4.67541e-06
2.0,5.0,-1.56473e-07
3.0,5.0,-1.76533e-05
4.0,5.0,-1.54523e-05
5.0,5.0,8.56472e-05
6.0,5.0,-5.90979e-05
7.0,5.0,3.29523e-05
8.0,5.0,1.3823e-05
9.0,5.0,-2.32602e-05
1.0,6.0,-9.53471e-06
2.0,6.0,4.17851e-06
3.0,6.0,1.16203e-05
4.0,6.0,1.4875e-05
5.0,6.0,-5.90979e-05
6.0,6.0,0.000132407
7.0,6.0,-7.48763e-05
8.0,6.0,-1.12294e-05
9.0,6.0,3.27145e-05
1.0,7.0,-9.63656e-06
2.0,7.0,6.86672e-07
3.0,7.0,8.46992e-06
4.0,7.0,-1.1566e-05
5.0,7.0,3.29523e-05
6.0,7.0,-7.48763e-05
7.0,7.0,9.28474e-05
8.0,7.0,-5.94433e-06
9.0,7.0,-3.50764e-05
1.0,8.0,4.41592e-07
2.0,8.0,-3.44273e-06
3.0,8.0,-2.9104e-06
4.0,8.0,1.53584e-06
5.0,8.0,1.3823e-05
6.0,8.0,-1.12294e-05
7.0,8.0,-5.94433e-06
8.0,8.0,2.86879e-05
9.0,8.0,-6.51531e-06
1.0,9.0,1.15563e-06
2.0,9.0,3.19719e-06
3.0,9.0,2.61578e-08
4.0,9.0,1.15449e-05
5.0,9.0,-2.32602e-05
6.0,9.0,3.27145e-05
7.0,9.0,-3.50764e-05
8.0,9.0,-6.51531e-06
9.0,9.0,3.15622e-05

