#: table_doi: 10.17182/hepdata.80076.v1/t10
#: name: Table 10
#: description: Statistical correlation between bins in data for the differential cross sections for the production of W<sup>-</sup> bosons as a function of the H<sub> T</sub> for events with N<sub> jets</sub> &ge; 1.
#: data_file: data10.yaml
#: keyword reactions: P P --> W JET(S) X
#: keyword observables: CORR
#: keyword phrases: Inclusive | Statistical Correlation | Cross Section | Proton-Proton Scattering | W Production | Jet Production
#: keyword cmenergies: 8000.0
#: PT(LEPTON) [GEV],,,,,> 25
#: RE,,,,,P P --> W JET(S) X
#: PT(JET) [GEV],,,,,> 30
#: Correlation for cross section,,,,,W- (electron channel)
#: SQRT(S) [GEV],,,,,8000.0
#: ABS(ETARAP(ELECTRON)),,,,,< 2.5
#: ABS(YRAP(JET)),,,,,< 4.4
$H_\text{T}\text{ [GeV]}$,$H_\text{T}\text{ [GeV]}$ LOW,$H_\text{T}\text{ [GeV]}$ HIGH,$H_\text{T}\text{ [GeV]}$,$H_\text{T}\text{ [GeV]}$ LOW,$H_\text{T}\text{ [GeV]}$ HIGH,$\rho^{W^-}(H_\text{T})$
1500.0,1400.0,1600.0,750.0,700.0,800.0,1.5e-05
1500.0,1400.0,1600.0,850.0,800.0,900.0,0.000196
1500.0,1400.0,1600.0,950.0,900.0,1000.0,-0.00042
1500.0,1400.0,1600.0,1050.0,1000.0,1100.0,-0.009504
1500.0,1400.0,1600.0,1150.0,1100.0,1200.0,-0.058221
1500.0,1400.0,1600.0,1300.0,1200.0,1400.0,0.042768
1500.0,1400.0,1600.0,1500.0,1400.0,1600.0,1.0
1500.0,1400.0,1600.0,2050.0,1600.0,2500.0,0.014187
2050.0,1600.0,2500.0,75.0,50.0,100.0,-5.9e-05
2050.0,1600.0,2500.0,125.0,100.0,150.0,4.5e-05
2050.0,1600.0,2500.0,175.0,150.0,200.0,-1.1e-05
2050.0,1600.0,2500.0,225.0,200.0,250.0,-0.000229
2050.0,1600.0,2500.0,275.0,250.0,300.0,0.00019
2050.0,1600.0,2500.0,325.0,300.0,350.0,-0.000244
2050.0,1600.0,2500.0,375.0,350.0,400.0,-0.000382
2050.0,1600.0,2500.0,425.0,400.0,450.0,0.000231
2050.0,1600.0,2500.0,475.0,450.0,500.0,-0.000328
2050.0,1600.0,2500.0,525.0,500.0,550.0,-5.3e-05
2050.0,1600.0,2500.0,575.0,550.0,600.0,5e-06
2050.0,1600.0,2500.0,625.0,600.0,650.0,-1.3e-05
2050.0,1600.0,2500.0,675.0,650.0,700.0,-8.6e-05
2050.0,1600.0,2500.0,750.0,700.0,800.0,-1.3e-05
2050.0,1600.0,2500.0,850.0,800.0,900.0,-2.6e-05
2050.0,1600.0,2500.0,950.0,900.0,1000.0,9.4e-05
2050.0,1600.0,2500.0,1050.0,1000.0,1100.0,0.000603
2050.0,1600.0,2500.0,1150.0,1100.0,1200.0,-0.002726
2050.0,1600.0,2500.0,1300.0,1200.0,1400.0,-0.037757
2050.0,1600.0,2500.0,1500.0,1400.0,1600.0,0.014187
2050.0,1600.0,2500.0,2050.0,1600.0,2500.0,1.0

