#: table_doi: 10.17182/hepdata.80076.v1/t19
#: name: Table 19
#: description: Statistical correlation between bins in data for the differential cross sections for the production of W<sup>+</sup> bosons as a function of the leading jet p<sub>T</sub> for events with N<sub> jets</sub> &ge; 1.
#: data_file: data19.yaml
#: keyword reactions: P P --> W JET(S) X
#: keyword observables: CORR
#: keyword phrases: Inclusive | Statistical Correlation | Cross Section | Proton-Proton Scattering | W Production | Jet Production
#: keyword cmenergies: 8000.0
#: PT(LEPTON) [GEV],,,,,> 25
#: RE,,,,,P P --> W JET(S) X
#: PT(JET) [GEV],,,,,> 30
#: Correlation for cross section,,,,,W+ (electron channel)
#: SQRT(S) [GEV],,,,,8000.0
#: ABS(ETARAP(ELECTRON)),,,,,< 2.5
#: ABS(YRAP(JET)),,,,,< 4.4
$p_\text{T}^\text{jet1}\text{ [GeV]}$,$p_\text{T}^\text{jet1}\text{ [GeV]}$ LOW,$p_\text{T}^\text{jet1}\text{ [GeV]}$ HIGH,$p_\text{T}^\text{jet1}\text{ [GeV]}$,$p_\text{T}^\text{jet1}\text{ [GeV]}$ LOW,$p_\text{T}^\text{jet1}\text{ [GeV]}$ HIGH,$\rho^{W^+}(p_\text{T}^\text{jet1})$
575.0,550.0,600.0,270.0,260.0,280.0,0.000106
575.0,550.0,600.0,290.0,280.0,300.0,-2.1e-05
575.0,550.0,600.0,325.0,300.0,350.0,-0.000131
575.0,550.0,600.0,375.0,350.0,400.0,0.000103
575.0,550.0,600.0,425.0,400.0,450.0,-0.022313
575.0,550.0,600.0,475.0,450.0,500.0,-0.08945
575.0,550.0,600.0,525.0,500.0,550.0,0.270041
575.0,550.0,600.0,575.0,550.0,600.0,1.0
575.0,550.0,600.0,650.0,600.0,700.0,0.080824
575.0,550.0,600.0,850.0,700.0,1000.0,-0.040667
650.0,600.0,700.0,35.0,30.0,40.0,0.0
650.0,600.0,700.0,50.0,40.0,60.0,0.0
650.0,600.0,700.0,70.0,60.0,80.0,0.0
650.0,600.0,700.0,90.0,80.0,100.0,0.0
650.0,600.0,700.0,110.0,100.0,120.0,0.0
650.0,600.0,700.0,130.0,120.0,140.0,0.0
650.0,600.0,700.0,150.0,140.0,160.0,0.0
650.0,600.0,700.0,170.0,160.0,180.0,0.0
650.0,600.0,700.0,190.0,180.0,200.0,0.0
650.0,600.0,700.0,210.0,200.0,220.0,1e-06
650.0,600.0,700.0,230.0,220.0,240.0,1e-06
650.0,600.0,700.0,250.0,240.0,260.0,-3e-06
650.0,600.0,700.0,270.0,260.0,280.0,-3.2e-05
650.0,600.0,700.0,290.0,280.0,300.0,-3.2e-05
650.0,600.0,700.0,325.0,300.0,350.0,-0.000469
650.0,600.0,700.0,375.0,350.0,400.0,0.000145
650.0,600.0,700.0,425.0,400.0,450.0,-7.6e-05
650.0,600.0,700.0,475.0,450.0,500.0,-0.019456
650.0,600.0,700.0,525.0,500.0,550.0,-0.080813
650.0,600.0,700.0,575.0,550.0,600.0,0.080824
650.0,600.0,700.0,650.0,600.0,700.0,1.0
650.0,600.0,700.0,850.0,700.0,1000.0,-0.028154
850.0,700.0,1000.0,35.0,30.0,40.0,0.0
850.0,700.0,1000.0,50.0,40.0,60.0,0.0
850.0,700.0,1000.0,70.0,60.0,80.0,0.0
850.0,700.0,1000.0,90.0,80.0,100.0,0.0
850.0,700.0,1000.0,110.0,100.0,120.0,0.0
850.0,700.0,1000.0,130.0,120.0,140.0,0.0
850.0,700.0,1000.0,150.0,140.0,160.0,0.0
850.0,700.0,1000.0,170.0,160.0,180.0,0.0
850.0,700.0,1000.0,190.0,180.0,200.0,0.0
850.0,700.0,1000.0,210.0,200.0,220.0,0.0
850.0,700.0,1000.0,230.0,220.0,240.0,0.0
850.0,700.0,1000.0,250.0,240.0,260.0,2e-06
850.0,700.0,1000.0,270.0,260.0,280.0,1e-06
850.0,700.0,1000.0,290.0,280.0,300.0,7e-06
850.0,700.0,1000.0,325.0,300.0,350.0,-6.8e-05
850.0,700.0,1000.0,375.0,350.0,400.0,-0.000531
850.0,700.0,1000.0,425.0,400.0,450.0,-0.000257
850.0,700.0,1000.0,475.0,450.0,500.0,-0.00011
850.0,700.0,1000.0,525.0,500.0,550.0,-0.009683
850.0,700.0,1000.0,575.0,550.0,600.0,-0.040667
850.0,700.0,1000.0,650.0,600.0,700.0,-0.028154
850.0,700.0,1000.0,850.0,700.0,1000.0,1.0

