#: table_doi: 10.17182/hepdata.80076.v1/t18
#: name: Table 18
#: description: Differential cross sections for the production of W<sup>+</sup> bosons, W<sup>-</sup> bosons and the W<sup>+</sup>/W<sup>-</sup> cross section ratio as a function of the leading jet p<sub>T</sub> for events with N<sub> jets</sub> &ge; 1.
#: data_file: data18.yaml
#: keyword reactions: P P --> W JET(S) X
#: keyword observables: DSIG/DX
#: keyword phrases: Inclusive | Differential Cross Section | Cross Section | Proton-Proton Scattering | W Production | Jet Production
#: keyword cmenergies: 8000.0
#: PT(LEPTON) [GEV],,,> 25
#: PT(JET) [GEV],,,> 30
#: Cross section,,,W+ (electron channel)
#: SQRT(S) [GEV],,,8000.0
#: RE,,,P P --> W JET(S) X
#: ABS(ETARAP(ELECTRON)),,,< 2.5
#: ABS(YRAP(JET)),,,< 4.4
$p_\text{T}^\text{jet1}\text{ [GeV]}$,$p_\text{T}^\text{jet1}\text{ [GeV]}$ LOW,$p_\text{T}^\text{jet1}\text{ [GeV]}$ HIGH,$d\sigma^{W^+}/dp_\text{T}^\text{jet1}\text{ [fb/GeV]}$,Stat +,Stat -,JetScaleEff1 +,JetScaleEff1 -,JetScaleEff2 +,JetScaleEff2 -,JetScaleEff3 +,JetScaleEff3 -,JetScaleEff4 +,JetScaleEff4 -,JetScaleEff5 +,JetScaleEff5 -,JetScaleEff6 +,JetScaleEff6 -,JetScaleEta1 +,JetScaleEta1 -,JetScaleEta2 +,JetScaleEta2 -,JetScaleHighPt +,JetScaleHighPt -,JetScaleMC +,JetScaleMC -,JetScalePileup1 +,JetScalePileup1 -,JetScalePileup2 +,JetScalePileup2 -,JetScalePileup3 +,JetScalePileup3 -,JetScalePileup4 +,JetScalePileup4 -,JetScaleFlav1Known +,JetScaleFlav1Known -,JetScaleFlav2 +,JetScaleFlav2 -,JetScaleBjet +,JetScaleBjet -,JetScalepunchT +,JetScalepunchT -,JetResolution10 +,JetResolution10 -,JetSFBeff +,JetSFBeff -,JetSFCeff +,JetSFCeff -,JetSFLmistag +,JetSFLmistag -,JetSFHighPt +,JetSFHighPt -,JetJVFcut +,JetJVFcut -,ElScaleR12 +,ElScaleR12 -,ElScaleZee +,ElScaleZee -,ElScalePS +,ElScalePS -,ElResolution +,ElResolution -,ElSFReco +,ElSFReco -,ElSFId +,ElSFId -,ElSFTrigger +,ElSFTrigger -,ElSFIso +,ElSFIso -,ElSFChargeMisID +,ElSFChargeMisID -,METScale +,METScale -,METResLong +,METResLong -,METResTrans +,METResTrans -,PileupWeight +,PileupWeight -,QCDlowRange +,QCDlowRange -,QCDhighRange +,QCDhighRange -,QCDvarIso +,QCDvarIso -,QCDvarElID +,QCDvarElID -,QCDfitUncert +,QCDfitUncert -,QCDotherGen +,QCDotherGen -,QCDfitRebin +,QCDfitRebin -,XsecZ +,XsecZ -,XsecTop +,XsecTop -,XsecDibos +,XsecDibos -,BkgTtbarNorm +,BkgTtbarNorm -,BkgMCstat +,BkgMCstat -,WHFmodel +,WHFmodel -,LumiUncert +,LumiUncert -,UnfoldMCstat +,UnfoldMCstat -,UnfoldOtherGen +,UnfoldOtherGen -,UnfoldReweight +,UnfoldReweight -
35.0,30.0,40.0,12830.0,0.2,-0.2,530,-550,-150,150,40,-40,-40,40,-20,20,40,-40,290,-280,150,-150,1,1,2,1,30,-10,-60,80,4,-1,380,-390,130,-130,-450,440,2,1,1,2,1080,-1080,-10,10,-10,10,-20,20,1,1,-120,100,-0.2,-0.4,110,-120,0.5,-0.04,-20,20,30,-30,100,-90,70,-70,20,-20,1,1,-130,130,-110,110,-120,120,60,-50,-3,80,10,-10,-20,20,40,-40,10,-10,20,-20,-2,2,-10,10,3,-3,3,-3,-1,1,-4,4,-80,80,10,-10,-10,10,550,-550,-60,60
50.0,40.0,60.0,5499.0,1,-1,231,-241,-54,53,-3,2,29,-30,-17,18,9,-8,102,-101,45,-46,0.3,0.4,1,0.3,3,-5,-23,24,13,-15,135,-140,36,-38,-178,173,1,1,1,1,408,-408,-10,11,-8,7,-8,8,1,1,-26,11,4,-5,47,-52,0.2,-0.02,-6,6,13,-14,43,-44,32,-33,10,-10,0.3,0.3,-89,89,-78,78,-80,80,23,-21,-5,41,5,-5,-5,5,42,-42,7,-7,6,-6,-1,1,-1,1,5,-5,3,-3,-3,3,-3,3,-14,14,9,-9,-6,6,188,-188,23,-23
70.0,60.0,80.0,2184.0,2,-2,78,-80,-5,6,-7,8,23,-21,-7,2,5,-4,35,-33,19,-17,0.1,0.1,0.3,0.1,1,-2,-5,7,7,-7,42,-43,10,-9,-64,63,0.3,0.3,0.2,0.3,125,-125,-10,10,-3,4,-3,4,0.2,0.2,-3,-5,3,-3,18,-19,0.1,-0.01,-3,3,6,-6,18,-18,13,-13,5,-4,0.1,0.1,-35,34,-30,30,-31,31,6,-5,-3,15,2,-2,-2,2,17,-17,4,-4,2,-2,-0.3,0.3,-2,2,5,-5,2,-2,-4,4,-2,2,0.5,-0.5,4,-4,-3,3,58,-58,9,-9
90.0,80.0,100.0,1062.0,1,-1,29,-30,-2,3,-6,5,9,-9,-3,1,4,-4,15,-15,7,-7,0.1,0.1,0.1,0.1,1,-1,-2,2,4,-4,17,-18,4,-3,-28,27,0.1,0.1,0.1,0.1,41,-41,-7,7,-2,2,-2,2,0.1,0.1,-3,-3,2,-2,8,-8,0.04,-0.003,-1,1,3,-3,10,-10,6,-6,2,-2,0.05,0.1,-15,15,-13,13,-14,14,3,-3,-2,6,1,-1,-1,1,3,-3,2,-2,1,-1,-0.05,0.05,-1,1,4,-4,1,-1,-3,3,-1,1,3,-3,2,-2,-2,2,33,-33,4,-4
110.0,100.0,120.0,566.9,1.1,-1.1,13.1,-13.7,3.4,-3.4,-3.2,3.0,1.8,-1.9,-1.8,0.6,1.9,-2.2,7.3,-7.4,2.3,-2.7,0.03,0.04,0.1,0.03,0.3,-0.5,-1.1,1.1,1.8,-1.9,8.2,-8.6,1.8,-1.8,-14.8,13.9,0.1,0.1,0.1,0.1,16.8,-16.8,-4.9,5.1,-1.2,1.2,-1.1,1.2,0.1,0.1,-2.6,-2.2,1.2,-1.2,4.0,-4.0,0.02,-0.002,-0.7,0.7,1.9,-2.0,5.4,-5.5,3.2,-3.4,1.3,-1.2,0.03,0.03,-7.6,7.3,-6.8,6.8,-7.2,7.2,1.4,-1.4,-0.9,2.8,0.4,-0.2,-0.5,0.5,1.9,-1.9,1.1,-1.1,0.6,-0.6,0.05,-0.05,-0.5,0.5,2.5,-2.5,0.3,-0.3,-2.3,2.3,-0.8,0.8,3.0,-3.0,1.4,-1.4,-1.6,1.6,16.8,-16.8,2.4,-2.4
130.0,120.0,140.0,324.1,0.8,-0.8,6.4,-6.2,2.7,-2.4,-1.7,1.8,1.0,-1.1,1.0,0.3,0.9,-0.9,3.6,-3.5,1.6,-1.4,0.02,0.02,0.04,0.02,0.2,-0.3,-0.7,0.6,1.0,-1.1,4.3,-4.2,0.9,-0.9,-7.5,7.5,0.04,0.04,0.03,0.04,7.1,-7.1,-3.3,3.3,-1.0,0.7,-0.8,0.7,0.03,0.03,-1.7,-1.6,0.8,-0.7,2.1,-2.1,0.01,-0.001,-0.4,0.4,1.2,-1.3,3.3,-3.4,1.9,-1.9,0.7,-0.8,0.02,0.02,-3.8,3.9,-3.4,3.4,-3.5,3.5,0.8,-0.8,-0.5,1.4,0.2,-0.03,-0.3,0.3,1.1,-1.1,0.6,-0.6,0.3,-0.3,0.1,-0.1,-0.1,0.1,1.5,-1.5,0.2,-0.2,-1.4,1.4,-0.6,0.6,1.6,-1.6,0.8,-0.8,-1.2,1.2,3.9,-3.9,1.4,-1.4
150.0,140.0,160.0,197.5,0.6,-0.6,3.6,-3.6,1.8,-1.7,-1.2,1.1,0.6,-0.7,0.6,-0.7,0.6,-0.6,2.0,-1.7,1.2,-1.2,0.01,0.01,0.03,0.01,0.1,-0.2,-0.4,0.4,0.7,-0.6,2.3,-2.3,0.5,-0.5,-4.5,4.4,0.03,0.02,0.02,0.03,3.3,-3.3,-2.1,2.1,-0.6,0.7,-0.5,0.4,0.02,0.02,-1.7,-1.6,0.5,-0.4,1.1,-1.2,0.01,-0.001,-0.2,0.2,0.7,-0.8,2.0,-2.1,1.1,-1.2,0.5,-0.5,0.01,0.01,-2.3,2.1,-2.0,2.0,-2.0,2.0,0.5,-0.5,-0.3,0.7,0.1,-0.001,-0.2,0.2,0.6,-0.6,0.4,-0.4,0.2,-0.2,0.1,-0.1,-0.1,0.1,0.9,-1.0,0.1,-0.1,-0.9,0.9,-0.4,0.4,0.9,-0.9,0.5,-0.5,-0.9,0.9,4.8,-4.8,0.8,-0.8
170.0,160.0,180.0,124.3,0.5,-0.5,2.5,-2.7,1.3,-1.4,-0.8,0.7,0.4,-0.4,0.4,-0.4,0.4,-0.3,1.1,-1.2,0.9,-1.0,0.01,0.01,0.02,0.01,0.1,-0.1,-0.3,0.2,0.4,-0.4,1.4,-1.5,0.3,-0.3,-3.1,2.9,0.02,0.01,0.01,0.02,1.9,-1.9,-1.3,1.3,-0.5,0.4,-0.3,0.3,0.01,0.01,-1.1,-1.0,0.3,-0.3,0.7,-0.8,0.005,-0.0004,-0.1,0.1,0.5,-0.5,1.3,-1.4,0.7,-0.7,0.3,-0.3,0.01,0.01,-1.4,1.3,-1.2,1.2,-1.2,1.2,0.3,-0.3,-0.2,0.4,0.1,0.02,-0.1,0.1,0.4,-0.4,0.3,-0.3,0.1,-0.1,0.05,-0.05,-0.03,0.03,0.6,-0.6,0.1,-0.1,-0.6,0.6,-0.3,0.3,0.7,-0.7,0.3,-0.3,-0.7,0.7,4.1,-4.1,0.5,-0.5
190.0,180.0,200.0,79.96,0.4,-0.4,1.89,-1.61,1.01,-0.82,-0.59,0.64,0.26,-0.27,0.44,-0.28,0.23,-0.23,0.7,-0.69,0.49,-0.43,0.005,0.01,0.01,0.005,0.04,-0.08,-0.16,0.15,0.27,-0.26,0.96,-0.81,0.22,-0.21,-1.65,1.9,0.01,0.01,0.01,0.01,1.07,-1.07,-0.82,0.86,-0.3,0.29,-0.2,0.17,0.01,0.01,-0.64,-0.58,0.19,-0.17,0.5,-0.4,0.003,-0.0002,-0.09,0.09,0.31,-0.32,0.9,-0.83,0.46,-0.48,0.18,-0.2,0.004,0.004,-0.88,0.84,-0.81,0.81,-0.83,0.83,0.2,-0.2,-0.13,0.25,0.03,0.002,-0.07,0.07,0.26,-0.26,0.16,-0.16,0.1,-0.1,0.03,-0.03,-0.01,0.01,0.37,-0.38,0.04,-0.04,-0.35,0.35,-0.23,0.23,0.45,-0.45,0.21,-0.21,-0.54,0.54,2.36,-2.36,0.34,-0.34
210.0,200.0,220.0,54.44,0.33,-0.33,1.19,-1.22,0.7,-0.7,-0.4,0.42,0.17,-0.18,0.3,-0.31,0.16,-0.15,0.48,-0.47,0.33,-0.29,0.003,0.003,0.01,0.003,0.03,-0.05,-0.11,0.1,0.18,-0.18,0.48,-0.55,0.15,-0.14,-1.18,1.13,0.01,0.01,0.01,0.01,0.83,-0.83,-0.6,0.63,-0.2,0.2,-0.14,0.11,0.01,0.01,-0.44,-0.4,0.13,-0.12,0.34,-0.27,0.002,-0.0002,-0.06,0.06,0.21,-0.22,0.6,-0.55,0.33,-0.3,0.12,-0.13,0.003,0.003,-0.48,0.52,-0.55,0.55,-0.48,0.48,0.14,-0.13,-0.09,0.16,0.02,0.01,-0.05,0.05,0.18,-0.18,0.12,-0.12,0.06,-0.06,0.03,-0.03,-0.01,0.01,0.26,-0.26,0.02,-0.02,-0.24,0.24,-0.19,0.19,0.38,-0.38,0.14,-0.14,-0.42,0.42,1.6,-1.6,0.23,-0.23
